,Rank,city,state,latitude,longitude,July_2016,breweries_5,breweries_10,breweries_25,ratings_5,ratings_10,ratings_25,review_count_5,review_count_10,review_count_25,price_5,price_10,price_25,brew_per_100k_5,brew_per_100k_10,brew_per_100k_25,review_per_100k_5,review_per_100k_10,review_per_100k_25
0,1,New York,New York,40.7127837,-74.0059413,8537673,29,49,112,4.23033066222,4.22249268221,4.13258781627,218.379310345,181.469387755,141.785714286,1.71034482759,1.68571428571,1.68392857143,0.339671008716,0.573926876797,1.31183286125,2.55783174578,2.12551344793,1.66070677907
1,2,Los Angeles,California,34.0522342,-118.2436849,3976322,16,45,144,4.30504101949,4.180751686,4.14196772759,352.5625,365.822222222,322.201388889,1.51704545455,1.58909090909,1.63295454545,0.402381899655,1.13169909278,3.6214370969,8.86654803107,9.20001504461,8.10300043329
2,3,Chicago,Illinois,41.8781136,-87.6297982,2704958,22,41,112,4.26540395487,4.28421784167,4.12655151048,252.954545455,174.195121951,154.6875,1.86363636364,1.82926829268,1.79464285714,0.813321315895,1.51573517962,4.14054488092,9.35151471685,6.43984571854,5.71866550238
3,4,Houston,Texas,29.7604267,-95.3698028,2303482,25,36,67,4.16953380908,4.15617059327,3.99214654746,178.4,167.527777778,145.388059701,1.56,1.62896825397,1.69243070362,1.08531345155,1.56285137023,2.90864005015,7.74479679025,7.27280602921,6.31166467554
5,5,Phoenix,Arizona,33.4483771,-112.0740373,1615017,12,33,80,4.15316577865,4.17763020969,4.05398036392,199.833333333,213.484848485,209.65,1.62698412698,1.71051171051,1.79308608059,0.743026234399,2.0433221446,4.95350822933,12.3734507645,13.2187369226,12.9812875035
4,6,Philadelphia,Pennsylvania,39.9525839,-75.1652215,1567872,16,36,98,4.23115849109,4.24113572455,4.07080934101,117.0,117.472222222,94.0918367347,1.5625,1.61111111111,1.67346938776,1.02049146869,2.29610580456,6.25051024573,7.46234386481,7.49246253662,6.00124479133
6,7,San Antonio,Texas,29.4241219,-98.4936282,1492510,19,28,41,3.90480335908,3.95283350603,3.94053068342,210.684210526,175.607142857,154.390243902,1.82706766917,1.80612244898,1.81881533101,1.27302329633,1.87603433143,2.74705027102,14.1161004299,11.7658938873,10.3443356428
7,8,San Diego,California,32.715738,-117.1610838,1406630,47,85,149,4.2834142893,4.29448899434,4.22412083762,253.808510638,235.670588235,249.053691275,1.40694288914,1.39380804954,1.41723772519,3.34131932349,6.04281154248,10.5926931745,18.0437293843,16.7542700095,17.7057002392
8,9,Dallas,Texas,32.7766642,-96.7969879,1317929,28,31,81,4.09680933884,4.08830574755,4.03017291387,178.142857143,175.0,139.839506173,1.64285714286,1.67741935484,1.68518518519,2.12454540419,2.35217526893,6.14600634784,13.5168781583,13.2784087762,10.6105492916
9,10,San Jose,California,37.3382082,-121.8863286,1025350,17,23,60,3.97345287591,3.95708126072,3.97758177942,312.882352941,298.086956522,295.15,1.64705882353,1.69565217391,1.76666666667,1.65797044911,2.24313648998,5.85166040864,30.5146879545,29.0717273635,28.7852928268
