,city,growth_from_2000_to_2013,latitude,longitude,population,rank,state
0,New York,4.80%,40.7127837,-74.0059413,8405837,1,NY
1,Los Angeles,4.80%,34.0522342,-118.2436849,3884307,2,CA
2,Chicago,-6.10%,41.8781136,-87.6297982,2718782,3,IL
3,Houston,11.00%,29.7604267,-95.3698028,2195914,4,TX
4,Philadelphia,2.60%,39.9525839,-75.1652215,1553165,5,PA
5,Phoenix,14.00%,33.4483771,-112.0740373,1513367,6,AZ
6,San Antonio,21.00%,29.4241219,-98.4936282,1409019,7,TX
7,San Diego,10.50%,32.715738,-117.1610838,1355896,8,CA
8,Dallas,5.60%,32.7766642,-96.7969879,1257676,9,TX
9,San Jose,10.50%,37.3382082,-121.8863286,998537,10,CA
10,Austin,31.70%,30.267153,-97.7430608,885400,11,TX
11,Indianapolis,7.80%,39.768403,-86.158068,843393,12,IN
12,Jacksonville,14.30%,30.3321838,-81.655651,842583,13,FL
13,San Francisco,7.70%,37.7749295,-122.4194155,837442,14,CA
14,Columbus,14.80%,39.9611755,-82.9987942,822553,15,OH
15,Charlotte,39.10%,35.2270869,-80.8431267,792862,16,NC
16,Fort Worth,45.10%,32.7554883,-97.3307658,792727,17,TX
17,Detroit,-27.10%,42.331427,-83.0457538,688701,18,MI
18,El Paso,19.40%,31.7775757,-106.4424559,674433,19,TX
19,Memphis,-5.30%,35.1495343,-90.0489801,653450,20,TN
20,Seattle,15.60%,47.6062095,-122.3320708,652405,21,WA
21,Denver,16.70%,39.7392358,-104.990251,649495,22,CO
22,Washington,13.00%,38.9071923,-77.0368707,646449,23,DC
23,Boston,9.40%,42.3600825,-71.0588801,645966,24,MA
24,Nashville-Davidson,16.20%,36.1626638,-86.7816016,634464,25,TN
25,Baltimore,-4.00%,39.2903848,-76.6121893,622104,26,MD
26,Oklahoma City,20.20%,35.4675602,-97.5164276,610613,27,OK
27,Louisville/Jefferson County,10.00%,38.2526647,-85.7584557,609893,28,KY
28,Portland,15.00%,45.5230622,-122.6764816,609456,29,OR
29,Las Vegas,24.50%,36.1699412,-115.1398296,603488,30,NV
30,Milwaukee,0.30%,43.0389025,-87.9064736,599164,31,WI
31,Albuquerque,23.50%,35.0853336,-106.6055534,556495,32,NM
32,Tucson,7.50%,32.2217429,-110.926479,526116,33,AZ
33,Fresno,18.30%,36.7468422,-119.7725868,509924,34,CA
34,Sacramento,17.20%,38.5815719,-121.4943996,479686,35,CA
35,Long Beach,1.50%,33.7700504,-118.1937395,469428,36,CA
36,Kansas City,5.50%,39.0997265,-94.5785667,467007,37,MO
37,Mesa,13.50%,33.4151843,-111.8314724,457587,38,AZ
38,Virginia Beach,5.10%,36.8529263,-75.977985,448479,39,VA
39,Atlanta,6.20%,33.7489954,-84.3879824,447841,40,GA
40,Colorado Springs,21.40%,38.8338816,-104.8213634,439886,41,CO
41,Omaha,5.90%,41.2523634,-95.9979883,434353,42,NE
42,Raleigh,48.70%,35.7795897,-78.6381787,431746,43,NC
43,Miami,14.90%,25.7616798,-80.1917902,417650,44,FL
44,Oakland,1.30%,37.8043637,-122.2711137,406253,45,CA
45,Minneapolis,4.50%,44.977753,-93.2650108,400070,46,MN
46,Tulsa,1.30%,36.1539816,-95.992775,398121,47,OK
47,Cleveland,-18.10%,41.49932,-81.6943605,390113,48,OH
48,Wichita,9.70%,37.688889,-97.336111,386552,49,KS
49,Arlington,13.30%,32.735687,-97.1080656,379577,50,TX
50,New Orleans,-21.60%,29.9510658,-90.0715323,378715,51,LA
51,Bakersfield,48.40%,35.3732921,-119.0187125,363630,52,CA
52,Tampa,16.00%,27.950575,-82.4571776,352957,53,FL
53,Honolulu,-6.20%,21.3069444,-157.8583333,347884,54,HI
54,Aurora,24.40%,39.7294319,-104.8319195,345803,55,CO
55,Anaheim,4.70%,33.8352932,-117.9145036,345012,56,CA
56,Santa Ana,-1.20%,33.7455731,-117.8678338,334227,57,CA
57,St. Louis,-8.20%,38.6270025,-90.1994042,318416,58,MO
58,Riverside,22.50%,33.9533487,-117.3961564,316619,59,CA
59,Corpus Christi,14.10%,27.8005828,-97.396381,316381,60,TX
60,Lexington-Fayette,18.00%,38.0405837,-84.5037164,308428,61,KY
61,Pittsburgh,-8.30%,40.4406248,-79.9958864,305841,62,PA
62,Anchorage,15.40%,61.2180556,-149.9002778,300950,63,AK
63,Stockton,21.80%,37.9577016,-121.2907796,298118,64,CA
64,Cincinnati,-10.10%,39.1031182,-84.5120196,297517,65,OH
65,St. Paul,2.80%,44.9537029,-93.0899578,294873,66,MN
66,Toledo,-10.00%,41.6639383,-83.555212,282313,67,OH
67,Greensboro,22.30%,36.0726354,-79.7919754,279639,68,NC
68,Newark,2.10%,40.735657,-74.1723667,278427,69,NJ
69,Plano,22.40%,33.0198431,-96.6988856,274409,70,TX
70,Henderson,51.00%,36.0395247,-114.9817213,270811,71,NV
71,Lincoln,18.00%,40.8257625,-96.6851982,268738,72,NE
72,Buffalo,-11.30%,42.8864468,-78.8783689,258959,73,NY
73,Jersey City,7.20%,40.7281575,-74.0776417,257342,74,NJ
74,Chula Vista,46.20%,32.6400541,-117.0841955,256780,75,CA
75,Fort Wayne,1.00%,41.079273,-85.1393513,256496,76,IN
76,Orlando,31.20%,28.5383355,-81.3792365,255483,77,FL
77,St. Petersburg,0.30%,27.773056,-82.64,249688,78,FL
78,Chandler,38.70%,33.3061605,-111.8412502,249146,79,AZ
79,Laredo,38.20%,27.5305671,-99.4803241,248142,80,TX
80,Norfolk,5.00%,36.8507689,-76.2858726,246139,81,VA
81,Durham,29.90%,35.9940329,-78.898619,245475,82,NC
82,Madison,15.80%,43.0730517,-89.4012302,243344,83,WI
83,Lubbock,19.60%,33.5778631,-101.8551665,239538,84,TX
84,Irvine,61.30%,33.6839473,-117.7946942,236716,85,CA
85,Winston-Salem,16.90%,36.0998596,-80.244216,236441,86,NC
86,Glendale,5.70%,33.5386523,-112.1859866,234632,87,AZ
87,Garland,8.50%,32.912624,-96.6388833,234566,88,TX
88,Hialeah,3.20%,25.8575963,-80.2781057,233394,89,FL
89,Reno,26.80%,39.5296329,-119.8138027,233294,90,NV
90,Chesapeake,15.10%,36.7682088,-76.2874927,230571,91,VA
91,Gilbert,96.00%,33.3528264,-111.789027,229972,92,AZ
92,Baton Rouge,0.40%,30.4582829,-91.1403196,229426,93,LA
93,Irving,19.10%,32.8140177,-96.9488945,228653,94,TX
94,Scottsdale,11.00%,33.4941704,-111.9260519,226918,95,AZ
95,North Las Vegas,92.20%,36.1988592,-115.1175013,226877,96,NV
96,Fremont,10.00%,37.5482697,-121.9885719,224922,97,CA
97,Boise City,9.50%,43.6187102,-116.2146068,214237,98,ID
98,Richmond,8.20%,37.5407246,-77.4360481,214114,99,VA
99,San Bernardino,13.00%,34.1083449,-117.2897652,213708,100,CA
