,uid,name,price,rating,review_count,city,state,zip_code,latitude,longitude,name_norm,id,brewery_id,wtd_rating
0,airways-brewing-kent,Airways Brewing,1.0,4.5,53,Kent,WA,98031,47.41171792,-122.2248228,Airways Brewing Company,"4,869",104,4.19444444444
1,airways-brewing-the-bistro-in-downtown-kent-kent,Airways Brewing: The Bistro in Downtown Kent,2.0,4.0,182,Kent,WA,98032,47.38217232,-122.2359098,Airways Brewing Company,"4,862",104,3.97679324895
2,akasha-brewing-co-louisville-2,Akasha Brewing Co,1.0,4.5,43,Louisville,KY,40206,38.2531286,-85.7354133,Akasha Brewing Company,"6,664",107,4.16680190902
3,alameda-island-brewing-company-alameda,Alameda Island Brewing Company,1.0,4.5,190,Alameda,CA,94501,37.7684402,-122.2388611,Alameda Island Brewing Company,"1,396",115,4.5
4,alamo-beer-san-antonio,Alamo Beer,2.0,4.0,79,San Antonio,TX,78202,29.42941599,-98.47722356,Alamo Beer Company,919,116,4.0
5,alarmist-brewing-and-taproom-chicago-2,Alarmist Brewing & Taproom,2.0,5.0,13,Chicago,IL,60646,41.98969911,-87.73167065,Alarmist Brewing,"8,487",118,4.39732140097
6,alaskan-brewing-company-juneau,Alaskan Brewing Company,1.0,4.5,83,Juneau,AK,99801,58.35703,-134.48899,Alaskan Brewing Company,"4,914",120,4.5
7,alaskan-brewing-company-depot-juneau,Alaskan Brewing Company Depot,2.0,4.5,4,Juneau,AK,99801,58.29974353,-134.4043296,Alaskan Brewing Company,"4,916",120,4.5
8,albemarle-ciderworks-north-garden,Albemarle CiderWorks,2.0,4.5,45,North Garden,VA,22959,37.9665873,-78.6502108,Albemarle Ciderworks,"4,300",123,4.5
9,albia-brewing-albia,Albia Brewing,2.0,4.5,16,Albia,IA,52531,41.02723326,-92.80779868,Albia Brewing Company,"1,620",125,4.5
10,aldus-brewing-hanover,Aldus Brewing,1.0,4.5,13,Hanover,PA,17331,39.79052353,-76.97698212,Aldus Brewing Company,24,134,4.32878787879
11,ale-asylum-madison,Ale Asylum,2.0,4.0,218,Madison,WI,53704,43.120314,-89.353954,Ale Asylum,"4,213",136,3.91646667394
12,ale-industries-oakland-5,Ale Industries,1.0,4.5,109,Oakland,CA,94601,37.77619976,-122.2283765,Ale Industries,"1,401",139,4.34681294042
13,ale-republic-cedar-crest,Ale Republic,2.0,4.5,7,Cedar Crest,NM,87008,35.1290323,-106.3652606,Ale Republic,"1,716",142,4.5
14,alesatian-brewing-co-winchester,Alesatian Brewing Co.,2.0,4.5,11,Winchester,VA,22601,39.18433466,-78.16538313,Alesatian Brewing Company,"6,555",150,4.13580246914
15,alesmith-brewing-company-san-diego-3,AleSmith Brewing Company,1.0,4.5,247,San Diego,CA,92126,32.8873241,-117.1493986,AleSmith Brewing Company,"9,212",151,4.42241881909
16,alesong-brewing-and-blending-eugene,Alesong Brewing & Blending,2.0,5.0,2,Eugene,OR,97405,43.852448,-123.237707,Alesong Brewing & Blending,"6,846",152,4.1161580634
17,alewerks-brewing-company-williamsburg,Alewerks Brewing Company,1.0,4.0,118,Williamsburg,VA,23188,37.320719,-76.7322882,AleWerks Brewing Company,266,153,4.13331163018
18,alibi-ale-works-incline-village-4,Alibi Ale Works,2.0,4.5,83,Incline Village,NV,89451,39.24749,-119.95348,Alibi Ale Works,"8,087",160,4.5
19,hopcat-lincoln,HopCat,2.0,4.0,88,Lincoln,NE,68508,40.81443,-96.71242,HopCat,584,,4.0
20,all-saints-brewing-company-greensburg,All Saints Brewing Company,2.0,4.5,11,Greensburg,PA,15601,40.31197968,-79.52575922,All Saints Brewing Company,348,169,4.305
21,allagash-brewing-company-portland,Allagash Brewing Company,1.0,4.5,424,Portland,ME,04103,43.70315936,-70.3177254,Allagash Brewing Company,"5,400",173,4.46720891255
22,allegheny-city-brewing-pittsburgh,Allegheny City Brewing,1.0,4.5,17,Pittsburgh,PA,15212,40.45419,-80.00044,Allegheny City Brewing,"2,090",175,4.17403846154
23,alliance-brewing-company-knoxville-2,Alliance Brewing Company,1.0,4.0,14,Knoxville,TN,37920,35.959412,-83.903511,Alliance Brewing Company,"1,767",182,4.0286033021
24,tall-pauls-brew-house-gainesville,Tall Paul's Brew House,2.0,3.0,53,Gainesville,FL,32601,29.6505,-82.32456,Alligator Brewing Company (aka: Tall Paul Brew House),"1,372",183,3.50195771339
25,alluvial-brewing-ames,Alluvial Brewing,1.0,4.5,18,Ames,IA,50014,42.07859464,-93.66883051,Alluvial Brewing Company,"2,178",186,4.08827014218
26,alma-brewing-company-alma,Alma Brewing Company,1.0,4.5,17,Alma,MI,48801,43.37865,-84.65962,Alma Brewing Company,"2,417",187,4.5
