"","id","year","name","ibu","abv","calories","beer_style_name","beer_style_norm","num_ratings","overall_rating","brewery_name","brewery_type","city","state","post_code","loc_id","lat","long","total_m","total_f","under_18_m","x18_to_29_m","x30_to_49_m","x50_to_64_m","x65_plus_m","under_18_f","x18_to_29_f","x30_to_49_f","x50_to_64_f","x65_plus_f"
"1","1","2011","De Garde Nelson Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",50,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","11640",45.459109,-123.80389,NA,NA,1604,989,1839,1449,1085,1521,912,1584,1580,1234
"2","1","2012","De Garde Nelson Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",50,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","11640",45.459109,-123.80389,NA,NA,1483,829,1800,1490,1074,1509,863,1619,1709,1231
"3","1","2013","De Garde Nelson Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",50,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","11640",45.459109,-123.80389,NA,NA,1416,929,1678,1560,1083,1530,856,1564,1716,1343
"4","1","2014","De Garde Nelson Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",50,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","11640",45.459109,-123.80389,NA,NA,1215,1073,1646,1526,1023,1569,899,1519,1733,1292
"5","1","2015","De Garde Nelson Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",50,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","11640",45.459109,-123.80389,NA,NA,1339,1075,1698,1468,1040,1496,893,1620,1619,1357
"6","2","2011","Funky Buddha Founders Series  1: Veruca Snozzberry Gose",NA,5.2,156,"Grodziskie/Gose/Lichtenhainer","Sour",33,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","27821",26.182161,-80.13341,NA,NA,2518,1132,0,1768,1587,2569,912,864,636,1382
"7","2","2012","Funky Buddha Founders Series  1: Veruca Snozzberry Gose",NA,5.2,156,"Grodziskie/Gose/Lichtenhainer","Sour",33,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","27821",26.182161,-80.13341,NA,NA,2958,1010,973,1803,1473,2453,1031,842,1463,1467
"8","2","2013","Funky Buddha Founders Series  1: Veruca Snozzberry Gose",NA,5.2,156,"Grodziskie/Gose/Lichtenhainer","Sour",33,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","27821",26.182161,-80.13341,NA,NA,3231,871,938,1023,1559,2486,1206,960,2743,1358
"9","2","2014","Funky Buddha Founders Series  1: Veruca Snozzberry Gose",NA,5.2,156,"Grodziskie/Gose/Lichtenhainer","Sour",33,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","27821",26.182161,-80.13341,NA,NA,2122,935,0,2143,1704,2210,1961,991,880,1533
"10","2","2015","Funky Buddha Founders Series  1: Veruca Snozzberry Gose",NA,5.2,156,"Grodziskie/Gose/Lichtenhainer","Sour",33,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","27821",26.182161,-80.13341,NA,NA,2008,963,0,1177,1750,2135,2139,1889,1929,1654
"11","3","2011","Stillwater Gose Gone Wild",NA,4.3,129,"Grodziskie/Gose/Lichtenhainer","Sour",272,99,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","7362",39.284607,-76.55696,NA,NA,2572,980,0,1040,1827,569,848,0,810,3006
"12","3","2012","Stillwater Gose Gone Wild",NA,4.3,129,"Grodziskie/Gose/Lichtenhainer","Sour",272,99,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","7362",39.284607,-76.55696,NA,NA,661,1118,0,1210,1885,464,793,0,991,2881
"13","3","2013","Stillwater Gose Gone Wild",NA,4.3,129,"Grodziskie/Gose/Lichtenhainer","Sour",272,99,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","7362",39.284607,-76.55696,NA,NA,689,1054,0,1227,1972,511,830,0,1166,2773
"14","3","2014","Stillwater Gose Gone Wild",NA,4.3,129,"Grodziskie/Gose/Lichtenhainer","Sour",272,99,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","7362",39.284607,-76.55696,NA,NA,734,902,0,1083,1981,632,754,0,1100,2862
"15","3","2015","Stillwater Gose Gone Wild",NA,4.3,129,"Grodziskie/Gose/Lichtenhainer","Sour",272,99,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","7362",39.284607,-76.55696,NA,NA,1567,852,0,984,2133,554,786,0,1319,3060
"16","5","2011","The Livery Bourbon Barrel Aged Wheat Trippelbock",NA,11.5,345,"Weizen Bock","Wheat Beer",180,100,"The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","19227",42.10809,-86.41801,NA,NA,666,2021,2519,1671,1807,972,2450,0,864,2467
"17","5","2012","The Livery Bourbon Barrel Aged Wheat Trippelbock",NA,11.5,345,"Weizen Bock","Wheat Beer",180,100,"The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","19227",42.10809,-86.41801,NA,NA,591,2173,2485,2633,1916,904,1511,1927,930,2589
"18","5","2013","The Livery Bourbon Barrel Aged Wheat Trippelbock",NA,11.5,345,"Weizen Bock","Wheat Beer",180,100,"The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","19227",42.10809,-86.41801,NA,NA,632,2152,2609,2683,1844,747,1434,852,1016,2571
"19","5","2014","The Livery Bourbon Barrel Aged Wheat Trippelbock",NA,11.5,345,"Weizen Bock","Wheat Beer",180,100,"The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","19227",42.10809,-86.41801,NA,NA,682,2150,2711,1761,1867,719,1378,821,2039,2623
"20","5","2015","The Livery Bourbon Barrel Aged Wheat Trippelbock",NA,11.5,345,"Weizen Bock","Wheat Beer",180,100,"The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","19227",42.10809,-86.41801,NA,NA,1610,2035,2712,2869,1820,605,1335,1733,1065,2682
"21","6","2011","Trillium Pier",NA,6.4,192,"Wheat Ale","Wheat Beer",71,99,"Trillium Brewing Company","Microbrewery","Boston","MA","02210","17848",42.347974,-71.04463,NA,625,41,251,538,149,54,72,166,302,47,38
"22","6","2012","Trillium Pier",NA,6.4,192,"Wheat Ale","Wheat Beer",71,99,"Trillium Brewing Company","Microbrewery","Boston","MA","02210","17848",42.347974,-71.04463,NA,803,44,223,556,190,89,68,258,291,123,63
"23","6","2013","Trillium Pier",NA,6.4,192,"Wheat Ale","Wheat Beer",71,99,"Trillium Brewing Company","Microbrewery","Boston","MA","02210","17848",42.347974,-71.04463,NA,872,25,252,486,226,33,67,231,296,212,66
"24","6","2014","Trillium Pier",NA,6.4,192,"Wheat Ale","Wheat Beer",71,99,"Trillium Brewing Company","Microbrewery","Boston","MA","02210","17848",42.347974,-71.04463,NA,939,25,294,461,193,72,64,259,313,191,112
