"","name","ibu","abv","calories","beer_style_name","beer_style_norm","num_ratings","overall_rating","brewery_name","brewery_type","city","state","zip_code","post_code","loc_id","lat","long"
"1","De Garde Nelson Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",50,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","38,521","11640",45.459109,-123.80389
"2","Funky Buddha Founders Series  1: Veruca Snozzberry Gose",NA,5.2,156,"Grodziskie/Gose/Lichtenhainer","Sour",33,100,"Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","13,345","27821",26.182161,-80.13341
"3","Stillwater Gose Gone Wild",NA,4.3,129,"Grodziskie/Gose/Lichtenhainer","Sour",272,99,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","2,278","7362",39.284607,-76.55696
"4","The Livery Bourbon Barrel Aged Wheat Trippelbock",NA,11.5,345,"Weizen Bock","Wheat Beer",180,100,"The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","3,100","19227",42.10809,-86.41801
"5","Trillium Pier",NA,6.4,192,"Wheat Ale","Wheat Beer",71,99,"Trillium Brewing Company","Microbrewery","Boston","MA","02210","4,092","17848",42.347974,-71.04463
"6","De Garde Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",91,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","38,521","11640",45.459109,-123.80389
"7","The Livery Wheat Trippelbock",NA,11.5,345,"Weizen Bock","Wheat Beer",55,99,"The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","3,100","19227",42.10809,-86.41801
"8","De Garde Apricot Gose",NA,5.2,156,"Grodziskie/Gose/Lichtenhainer","Sour",50,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","38,521","11640",45.459109,-123.80389
"9","De Garde Citra Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",40,99,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","38,521","11640",45.459109,-123.80389
"10","New Glarus Dancing Man Wheat",NA,7.2,216,"Weizen Bock","Wheat Beer",567,99,"New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","26,685","20574",42.81636,-89.64075
"11","Three Floyds Gumballhead",28,5.5,165,"Wheat Ale","Wheat Beer",1691,98,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"12","TRVE / Prairie Barrel Fermented Gose Aged on Peaches",NA,4.9,147,"Grodziskie/Gose/Lichtenhainer","Sour",12,98,"TRVE Brewing","Brew Pub/Brewery","Denver","CO","80203","10,041","8398",39.731286,-104.98306
"13","Brooklyner-Schneider Hopfen-Weisse",NA,8.5,255,"Weizen Bock","Wheat Beer",547,99,"Brooklyn Brewery","Microbrewery","Brooklyn","NY","11211","4,759","4881",40.645099,-73.945032
"14","The Veil Never Never Forever Forever",NA,5.1,153,"Grodziskie/Gose/Lichtenhainer","Sour",28,99,"The Veil Brewing Company","Microbrewery","Richmond","VA","23230","32,285","23801",37.580346,-77.48831
"15","New Glarus Thumbprint Series Imperial Weizen",NA,9.25,278,"Weizen Bock","Wheat Beer",464,99,"New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","26,685","20574",42.81636,-89.64075
"16","Stillwater Barrel Aged Series - Cellar Door",NA,6.8,204,"Witbier","Wheat Beer",90,99,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","2,278","7362",39.284607,-76.55696
"17","Arizona Wilderness Blood Orange Gose",NA,3.6,108,"Grodziskie/Gose/Lichtenhainer","Sour",13,99,"Arizona Wilderness Brewing Company","Brew Pub","Gilbert","AZ","85233","14,553","26038",33.348593,-111.80833
"18","Paradox Beer Skully Barrel No. 30 (Salty Melons)",NA,8.9,267,"Grodziskie/Gose/Lichtenhainer","Sour",36,99,"Paradox Beer Company","Microbrewery","Divide","CO","80814","10,371","13078",38.927344,-105.18746
"19","De Garde Amarillo Hose",NA,4,120,"Grodziskie/Gose/Lichtenhainer","Sour",25,98,"De Garde Brewing","Microbrewery","Tillamook","OR","97141","38,521","11640",45.459109,-123.80389
"20","OEC Albus",14,4.7,141,"Witbier","Wheat Beer",21,98,"OEC Brewing (Ordinem Ecentrici Coctores)","Microbrewery","Oxford","CT","06478","28,926","9349",41.428163,-73.12729
"21","J. Wakefield / Omnipollo One Trick Pony",10,7,210,"Grodziskie/Gose/Lichtenhainer","Sour",51,98,"J. Wakefield Brewing","Microbrewery","Miami","FL","33127","24,344","12976",25.813808,-80.2058
