"id","name","url"
1,Dunkler Bock,/beerstyles/dunkler-bock/9/
2,Specialty Grain,/beerstyles/specialty-grain/106/
3,Sak?? - Honjozo,/beerstyles/sake--honjozo/85/
4,German Hefeweizen,/beerstyles/german-hefeweizen/7/
5,Sak?? - Junmai,/beerstyles/sake--junmai/84/
6,Scotch Ale,/beerstyles/scotch-ale/102/
7,Sak?? - Taru,/beerstyles/sake--taru/95/
8,Dry Stout,/beerstyles/dry-stout/22/
9,Irish Ale,/beerstyles/irish-ale/62/
10,Premium Bitter/ESB,/beerstyles/premium-bitter-esb/101/
11,American Strong Ale,/beerstyles/american-strong-ale/64/
12,Session IPA,/beerstyles/session-ipa/121/
13,Abbey Dubbel,/beerstyles/abbey-dubbel/71/
14,Smoked,/beerstyles/smoked/41/
15,American Pale Ale,/beerstyles/american-pale-ale/18/
16,Foreign Stout,/beerstyles/foreign-stout/79/
17,English Pale Ale,/beerstyles/english-pale-ale/16/
18,Sweet Stout,/beerstyles/sweet-stout/23/
19,Lambic Style - Gueuze,/beerstyles/lambic-style--gueuze/73/
20,Czech Pilsner (Sv??tl??),/beerstyles/czech-pilsner-sv283tly/31/
21,Bitter,/beerstyles/bitter/20/
22,Sak?? - Tokubetsu,/beerstyles/sake--tokubetsu/88/
23,Amber Lager/Vienna,/beerstyles/amber-lager-vienna/36/
24,Sak?? - Ginjo,/beerstyles/sake--ginjo/86/
25,Dortmunder/Helles,/beerstyles/dortmunder-helles/60/
26,Abt/Quadrupel,/beerstyles/abt-quadrupel/80/
27,Brown Ale,/beerstyles/brown-ale/15/
28,Dunkelweizen,/beerstyles/dunkelweizen/100/
29,Sour/Wild Ale,/beerstyles/sour-wild-ale/52/
30,Imperial IPA,/beerstyles/imperial-ipa/81/
31,Heller Bock,/beerstyles/heller-bock/105/
32,Wheat Ale,/beerstyles/wheat-ale/19/
33,Radler/Shandy,/beerstyles/radler-shandy/122/
34,Sour Red/Brown,/beerstyles/sour-red-brown/118/
35,Polotmav??,/beerstyles/polotmavy/115/
36,Grodziskie/Gose/Lichtenhainer,/beerstyles/grodziskie-gose-lichtenhainer/117/
37,Low Alcohol,/beerstyles/low-alcohol/75/
38,Sak?? - Nigori,/beerstyles/sake--nigori/93/
39,Belgian Strong Ale,/beerstyles/belgian-strong-ale/13/
40,Ice Cider/Ice Perry,/beerstyles/ice-cider-ice-perry/112/
41,Oktoberfest/M??rzen,/beerstyles/oktoberfest-marzen/37/
42,Porter,/beerstyles/porter/5/
43,Sak?? - Infused,/beerstyles/sake--infused/94/
44,Stout,/beerstyles/stout/6/
45,Berliner Weisse,/beerstyles/berliner-weisse/61/
46,Imperial Pils/Strong Pale Lager,/beerstyles/imperial-pils-strong-pale-lager/65/
47,Mild Ale,/beerstyles/mild-ale/55/
48,Zwickel/Keller/Landbier,/beerstyles/zwickel-keller-landbier/74/
49,India Pale Ale (IPA),/beerstyles/india-pale-ale-ipa/17/
50,Saison,/beerstyles/saison/45/
51,Barley Wine,/beerstyles/barley-wine/11/
52,Sak?? - Genshu,/beerstyles/sake--genshu/91/
53,Baltic Porter,/beerstyles/baltic-porter/63/
54,Belgian Ale,/beerstyles/belgian-ale/12/
55,Sak?? - Daiginjo,/beerstyles/sake--daiginjo/87/
56,German Kristallweizen,/beerstyles/german-kristallweizen/82/
57,Traditional Ale,/beerstyles/traditional-ale/59/
58,Sak?? - Futsu-shu,/beerstyles/sake--futsu-shu/89/
59,Amber Ale,/beerstyles/amber-ale/53/
60,India Style Lager,/beerstyles/india-style-lager/123/
61,Dunkel/Tmav??,/beerstyles/dunkel-tmavy/28/
62,K??lsch,/beerstyles/kolsch/39/
63,Lambic Style - Faro,/beerstyles/lambic-style--faro/77/
64,Altbier,/beerstyles/altbier/2/
65,California Common,/beerstyles/california-common/42/
66,Doppelbock,/beerstyles/doppelbock/26/
67,Scottish Ale,/beerstyles/scottish-ale/21/
68,Spice/Herb/Vegetable,/beerstyles/spice-herb-vegetable/57/
69,Golden Ale/Blond Ale,/beerstyles/golden-ale-blond-ale/54/
70,Eisbock,/beerstyles/eisbock/27/
71,Sak?? - Koshu,/beerstyles/sake--koshu/92/
72,Lambic Style - Unblended,/beerstyles/lambic-style--unblended/78/
73,Weizen Bock,/beerstyles/weizen-bock/25/
74,Imperial Stout,/beerstyles/imperial-stout/24/
75,Bi??re de Garde,/beerstyles/biere-de-garde/58/
76,Witbier,/beerstyles/witbier/48/
77,Fruit Beer,/beerstyles/fruit-beer/40/
78,Sak?? - Namasak??,/beerstyles/sake--namasake/90/
79,English Strong Ale,/beerstyles/english-strong-ale/56/
80,Premium Lager,/beerstyles/premium-lager/103/
81,Black IPA,/beerstyles/black-ipa/114/
82,Cider,/beerstyles/cider/10/
83,Lambic Style - Fruit,/beerstyles/lambic-style--fruit/14/
84,Sahti/Gotlandsdricke/Kodu??lu,/beerstyles/sahti-gotlandsdricke-koduolu/116/
85,Pale Lager,/beerstyles/pale-lager/3/
86,Old Ale,/beerstyles/old-ale/76/
87,Cream Ale,/beerstyles/cream-ale/35/
88,Abbey Tripel,/beerstyles/abbey-tripel/72/
89,Malt Liquor,/beerstyles/malt-liquor/8/
90,Imperial Porter,/beerstyles/imperial-porter/113/
91,Perry,/beerstyles/perry/107/
92,Schwarzbier,/beerstyles/schwarzbier/29/
93,Mead,/beerstyles/mead/44/
94,Pilsener,/beerstyles/pilsener/4/
