"beer_id","tag_id"
220,242
"1,046",496
"4,127",877
"2,597",626
"2,687",528
"1,723",313
"1,164",305
"1,270",549
"3,048",97
"1,878",545
"1,191",264
"1,182",326
"1,329",677
"1,842",312
"3,451",709
"1,018",130
"1,146",626
656,322
"2,089",346
"3,085",945
"1,182",158
"2,037",84
"1,990",63
"4,272",325
"3,418",161
74,170
96,124
"2,890",914
"3,279",242
"1,169",346
"3,161",208
246,317
"1,305",342
"2,394",331
"2,745",39
"3,341",97
"3,389",259
760,395
"3,412",158
"2,419",89
7,3
85,130
651,487
"4,044",326
"4,152",323
17,15
"1,018",161
"3,139",399
"1,769",286
"3,042",360
"4,241",399
"3,538",3
"2,141",821
"2,687",161
"3,020",130
"4,233",92
"3,583",750
"1,755",39
592,148
"4,130","1,067"
"1,477",130
"1,486",161
"3,042",161
"4,325","1,080"
"3,430",130
65,130
"1,682",242
"4,126",299
"2,037",639
"3,105",950
"3,427",960
"4,303",39
"3,422",39
"2,194",833
"3,931",169
"2,692",130
609,161
"3,557",635
"3,862","1,030"
"3,820",161
668,349
"1,166",329
"3,453",452
"3,370",812
"1,007",161
"3,984",270
3,3
"3,295",50
973,158
"2,552",370
"3,455",242
"1,499",130
"1,539",357
"1,477",161
"2,679",291
"3,645",352
"4,609",301
"2,699",496
"1,490",131
"3,152",326
"4,465",130
"4,565",89
"3,458",161
"3,833",399
"1,007",130
"3,132",378
"4,126",349
"3,972",329
455,193
"3,161",161
"3,137",641
609,130
"4,581",362
"3,443",322
"2,037",362
"4,212",419
84,182
234,314
"1,968",485
"1,981",54
"1,743",372
155,172
219,39
"2,117",815
"2,668",161
"3,847",97
116,89
"3,409",378
1,3
"3,606",533
"2,037",188
"2,572",296
"3,405",352
"2,514",316
96,162
"3,110",130
"4,115",299
"2,903",461
"3,829",371
"3,818",326
"3,849",325
"3,446",131
963,50
49,3
854,148
"4,296",679
"3,327",148
"3,756",158
"3,858",264
"3,906",849
"2,005",667
"3,018",130
"3,869",768
"1,008",601
"3,747",50
"2,874",771
"1,300",370
628,261
"2,657",180
613,294
"4,369",170
"4,386",161
"2,965",621
"1,467",295
"1,315",299
"2,298",399
"2,668",130
"4,177",299
945,573
"3,600","1,017"
839,541
"3,901",434
"2,920",312
503,370
"2,875",50
"3,406",352
540,161
"2,825",286
"4,204",315
"1,174",337
"1,801",316
84,160
"3,921",434
"3,811",50
"4,173",545
"3,065",312
"3,912",434
"4,146",161
"1,873",545
"2,692",273
676,485
996,595
"4,168",299
"4,555",904
706,301
"3,626",270
"2,808",543
"2,892",50
58,148
"3,844",357
"3,921",378
733,301
37,84
572,368
"1,033",617
"1,232",54
"2,376",270
696,161
954,84
"3,797",641
"3,559",2
950,461
"3,912",76
"3,056",528
"3,824",914
"1,846",148
"3,578","1,014"
"1,270",673
"3,439",455
"3,035",485
"3,389",349
"2,875",641
"3,444",172
"1,529",326
"3,027",130
753,329
"1,200",264
743,380
"3,485",278
542,170
"3,876",337
530,378
"2,653",316
1,1
"4,162","1,066"
"2,703",130
318,326
"1,035",291
249,321
73,166
"2,000",794
558,466
"3,161",378
"4,325",468
"1,144",510
"1,463",161
"1,418",158
"4,565",820
630,278
719,54
"3,823",337
"3,932",422
"3,422",158
"3,451",291
"2,653",352
694,273
542,158
592,389
"3,871",652
"2,344",180
"3,144",291
558,467
887,312
548,158
"1,498",130
"2,499",54
"2,745",734
455,162
"1,678",748
"3,028",312
"4,143",496
"2,671",130
"3,439",161
"1,191",305
"3,045",161
"3,543",461
"1,287",331
655,161
"3,480",158
"1,165",1
"3,485",585
529,49
"2,134",820
969,84
"3,149",963
641,441
"2,839",321
"1,164",270
"1,738",370
"1,743",765
"2,167",824
"3,539",3
721,517
"3,995",97
"3,437",242
"3,662",316
"3,886",325
