"id","name","street","location_id","postal_code","country","phone","brewery_type_id","url","web"
2,A. Fisher Brewing Co.,"320 West 800 South","7,379","84101",USA,,4,/brewers/a-fisher/30427/,https://www.facebook.com/fisherbeer
3,A1A Ale Works,"1 King St","3,208",,USA,(904) 829-2977,6,/brewers/a1a-ale-works/195/,https://www.facebook.com/pages/A1A-ALEWORKS/172404069466739
7,Aardwolf,"1461 Hendricks Avenue","11,182","32207",USA,(904) 301-0755,5,/brewers/aardwolf/16721/,https://www.facebook.com/pages/Aardwolf-Brewery/219925481441627
8,Aaron Burr Cidery,,"12,982","12790",USA,(845) 468-5867,7,/brewers/aaron-burr-cidery/15429/,https://www.facebook.com/pages/The-Cidery/123637988892
10,Abandon Brewing Company,"2994 Merritt Hill Road",,"14527",USA,(585) 209-3276,4,/brewers/abandon/18337/,https://www.facebook.com/abandonbrewingcompany
11,Abandoned Building Brewery,"142 Pleasant Street Unit 103A","18,124","01027",USA,(413) 282-7062,4,/brewers/abandoned-building-brewery/19820/,https://www.facebook.com/pages/Abandoned-Building-Brewery/139189989511873
15,Abbey Beverage Company,PO Box 32124,"4,752","87594",USA,(505) 670-6802,1,/brewers/abbey-beverage-company/10842/,http://www.abbeybrewing.biz
16,Abbey Brewing Company,"1111 16th St","9,015","33139",USA,(305) 538-8110,1,/brewers/abbey/11350/,https://www.facebook.com/pages/The-Abbey-Brewing-Company/46810132100
18,Abbey of the Holy Goats,"4000 Northfield Way","13,464","30076",USA,(470) 282-1444,4,/brewers/abbey-of-the-holy-goats/26854/,https://www.facebook.com/HolyGoatBrew
19,Abbey Ridge Brewery,"24 Brewster Valley","12,208","62975",USA,(618) 893-1111,5,/brewers/abbey-ridge-brewery/21955/,https://www.facebook.com/AbbeyRidgeBrewery
20,Abbey Wright Brewing Company,"204 Valley Street",,"17702",USA,(570) 326-3383,6,/brewers/abbey-wright/7375/,https://www.facebook.com/pages/Abbey-Wright-Brewing/446741115373438
24,Aberdeen Brewing Co.,"210 Aberdeen Drive",566,"46385",USA,(219) 548-3300,6,/brewers/aberdeen/3595/,http://www.pubcrawler.com/Template/ReviewWC.cfm/flat/BrewerID=102946
25,Abide Brewing Company,"130 Werz Industrial Blvd","23,101","30265",USA,,4,/brewers/abide/27004/,https://www.facebook.com/abidebrewing
27,Abilene Brewing Company / Cypress Street Station,"158 Cypress Street","21,533","79601",USA,(325) 676- 3463,6,/brewers/abilene--cypress-street-station/11195/,https://www.facebook.com/pages/Cypress-Street-Station-Home-of-The-Abilene-Brewing-Co/325993008571
28,Abita Brewing Company,"21084 Highway 36","2,755","70433",USA,(800) 737-2311,4,/brewers/abita/1/,https://www.facebook.com/pages/Abita-Brewing-Company/109705702389494
29,Abjuration Brewing Company,"644 Broadway Ave",,"15136",USA,,4,/brewers/abjuration/27586/,https://www.facebook.com/AbjurationBrewing
30,Able Baker Brewing,"5990 Long Bay Street","21,660","89148",USA,(775) 813-2349,4,/brewers/able-baker-brewing/29774/,https://www.facebook.com/ablebaker.brewing
31,Able Ebenezer Brewing Company,"31 Columbia Circle","21,387","03054",USA,(844) 223-2253,4,/brewers/able-ebenezer/19977/,https://www.facebook.com/ableebenezer
32,Able Seedhouse + Brewery,"1121 Quincy Street NE","23,182","55413",USA,(612) 405-4642,4,/brewers/able-seedhouse-brewery/25020/,https://www.facebook.com/ablebrewery
33,Abnormal Beer Company,"16990 Via Tazon, Ste 123","6,960","92127",USA,(858) 618 2463,6,/brewers/abnormal-beer-company/21473/,https://www.facebook.com/AbnormalBeerCo
36,Absolution Brewing Company,"2878 Columbia Street","13,628","90503",USA,(310) 490-4860,4,/brewers/absolution/19249/,https://www.facebook.com/absolutionbrewing
41,Acadian Brewery,"201 N Carrollton Ave.","25,059","70119",USA,,4,/brewers/acadian-brewery/847/,http://beerme.com/breweries/us/la/index.shtml#18
42,Acadian Farms & Brewery,"342 Carson Creek Road","21,183","98610",USA,(509) 427-4297,4,/brewers/acadian-farms-and-brewery/14421/,https://www.facebook.com/AcadianFarms
45,Accomplice Brewery & Ciderworks,"1023 N Florida Mango Road","26,884","33409",USA,(561) 568-7242,4,/brewers/accomplice-brewery-and-ciderworks/25797/,https://www.facebook.com/AccompliceBrewery
48,Acidulous Brewing Company,,"18,719",,USA,,1,/brewers/acidulous/26985/,https://www.facebook.com/Acidulousbrewing
49,Ackerman Winery,"4406 220th Trail","18,964","52203",USA,(319) 622-3379,7,/brewers/ackerman-winery/9992/,https://www.facebook.com/pages/Ackerman-Winery-Gifts/159290467429433
51,Acoustic Ales Brewing Experiment,"1795 Hancock St","6,960","92110",USA,(619) 299-2537,4,/brewers/acoustic-ales-brewing-experiment/15916/,https://www.facebook.com/Acoustic-Ales-Brewing-Experiment-443458239035205/
52,Acoustic Brewing Company,"119 N. Maple","24,114","49684",USA,(231) 883-2012,8,/brewers/acoustic/12147/,https://www.facebook.com/pages/Acoustic-Draft-Mead/142720397272
54,Actual Brewing Company,"655 N. James Road","9,099","43219",USA,(614) 636-3825,4,/brewers/actual/16720/,https://www.facebook.com/TheActualBrewingCompany
59,Adelberts Brewery,"2314 Rutland Drive Suite #100","26,624","78758",USA,(512) 662-1462,4,/brewers/adelberts-brewery/13901/,https://www.facebook.com/adelbertsbeer
60,Adirondack Pub and Brewery,"33 Canada Street","24,076","12845",USA,(518) 668-0002,6,/brewers/adirondack-brewery/3998/,https://www.facebook.com/pages/Adirondack-Pub-Brewery/240055325493
61,Adirondack Toboggan Microbrewery,"202A West Main Street","22,898","13642",USA,(315) 276-5813,4,/brewers/adirondack-toboggan-microbrewery/18762/,https://www.facebook.com/pages/Adirondack-Toboggan-Company-Microbrewery/462242810551383
63,ADK Hard Cider,"7411 State Route 9","23,619","12901",USA,(518) 563-2750,7,/brewers/adk-hard-cider/19941/,https://www.facebook.com/Adk Hard Cider
78,Adroit Theory Brewing Company,"404 Browning Court, Unit C","29,287","20132",USA,(703) 722-3139,4,/brewers/adroit-theory/18510/,https://www.facebook.com/AdroitTheory
81,Adventure Brewing Company,"33 Perchwood Drive","6,012","22405",USA,(540) 242-8876,4,/brewers/adventure/19570/,https://www.facebook.com/adventurebrewing
82,Adytum Cellars,"390 Valley View Road",832,"98953",USA,(425) 482-9030,8,/brewers/adytum-cellars/6599/,https://www.facebook.com/AdytumCellars
83,Aero Plains Brewing,"117 N Handley Street","2,300","67203",USA,(316) 448-2811,4,/brewers/aero-plains-brewing/28781/,https://www.facebook.com/aeroplainsbrewing
84,Aeronaut Brewing Company,Union Square,"7,442",,USA,,4,/brewers/aeronaut/19230/,http://
86,Aftershock Brewing Company,"28822 Old Town Front St","27,311","92590",USA,(951) 972-2256,4,/brewers/aftershock/15364/,https://www.facebook.com/pages/Aftershock-Brewing-Company/327022810725767
88,Against the Grain Brewery,"401 East Main Street","11,333","40202",USA,(502) 515-0174,5,/brewers/against-the-grain-brewery/13546/,https://www.facebook.com/atgbrewery
90,Agner & Wolf Brewery Corporation,"4 Bud Way #16","3,257","03063",USA,(617) 319-9957,4,/brewers/agner-and-wolf-brewery-corporation/18848/,https://www.facebook.com/agnerandwolf
91,Agrarian Ales,"31115 W Crossroads Lane","20,189","97408",USA,(541) 687-1454,4,/brewers/agrarian-ales/15788/,https://www.facebook.com/pages/Agrarian-Ales/129726180439628
93,Ahnapee Brewery,"105 Navarino Street","15,819","54201",USA,(920) 785-0822,4,/brewers/ahnapee-brewery/17321/,https://www.facebook.com/ahnapeebrewery
96,Aigean Ales,"250 Commercial Street, Unit 2001","9,571","03101",USA,(603) 518-8550,4,/brewers/aigean-ales/30985/,https://www.facebook.com/AigeanAles/
