"id","city","state_code","state_name"
1,Paul Smiths,NY,New York
2,Blackburn,MO,Missouri
3,Dumas,AR,Arkansas
4,Merepoint,ME,Maine
5,Apulia Station,NY,New York
6,Grannis,AR,Arkansas
7,Kings Canyon National Pk,CA,California
8,Beaver,IA,Iowa
9,Milbank,SD,South Dakota
10,Moss,MS,Mississippi
11,St Columbans,NE,Nebraska
12,Delanson,NY,New York
13,Roseville,IL,Illinois
14,Armorel,AR,Arkansas
15,Girard,OH,Ohio
16,Mingo,OH,Ohio
17,Smithville,OH,Ohio
18,Meadow,SD,South Dakota
19,Dix,IL,Illinois
20,Drexel Hill,PA,Pennsylvania
21,Dexter,MO,Missouri
22,Reno,PA,Pennsylvania
23,Plain City,OH,Ohio
24,Wheatley,AR,Arkansas
25,Wyalusing,PA,Pennsylvania
26,Cresson,PA,Pennsylvania
27,Emigrant Gap,CA,California
28,Vienna,NJ,New Jersey
29,Comstock Park,MI,Michigan
30,Chester,MT,Montana
31,Strasburg,CO,Colorado
32,Islip Terrace,NY,New York
33,Burlingame,CA,California
34,Lenox,MA,Massachusetts
35,Orient,ME,Maine
36,Monticello,ME,Maine
37,Samburg,TN,Tennessee
38,Corunna,MI,Michigan
39,Linden,VA,Virginia
40,Kilsyth,WV,West Virginia
41,Rockport,TX,Texas
42,Lake Delton,WI,Wisconsin
43,McCutchenville,OH,Ohio
44,Lexington,NE,Nebraska
45,Cypress,TX,Texas
46,Rock View,WV,West Virginia
47,Nashoba,OK,Oklahoma
48,Mount Judea,AR,Arkansas
49,Buckhorn,KY,Kentucky
50,Cedar,KS,Kansas
51,Veyo,UT,Utah
52,Fort Washakie,WY,Wyoming
53,South Holland,IL,Illinois
54,North Chatham,MA,Massachusetts
55,Hays,NC,North Carolina
56,Westpoint,IN,Indiana
57,Conway,WA,Washington
58,Gapland,MD,Maryland
59,Mira Loma,CA,California
60,Weston,GA,Georgia
61,Glassboro,NJ,New Jersey
62,Turner,OR,Oregon
63,Lawrenceville,VA,Virginia
64,Union Center,SD,South Dakota
65,Kamiah,ID,Idaho
66,Hopewell Junction,NY,New York
67,Woodbine,KY,Kentucky
68,Yorkville,NY,New York
69,Hazleton,PA,Pennsylvania
70,Lurgan,PA,Pennsylvania
71,Cripple Creek,VA,Virginia
72,Melbourne,AR,Arkansas
73,Chinook,MT,Montana
74,McLeansville,NC,North Carolina
75,Santa Clarita,CA,California
76,Green Isle,MN,Minnesota
77,Icard,NC,North Carolina
78,Martell,NE,Nebraska
79,Halifax,PA,Pennsylvania
80,Woods Hole,MA,Massachusetts
81,Port Jefferson Station,NY,New York
82,Brooklyn,WI,Wisconsin
83,Camp Lake,WI,Wisconsin
84,Kingston,MI,Michigan
85,Smithton,PA,Pennsylvania
86,Forbes,MN,Minnesota
87,Good Hope,GA,Georgia
88,Craigsville,WV,West Virginia
89,Chestnut Mound,TN,Tennessee
90,Hawick,MN,Minnesota
91,Sheldon Springs,VT,Vermont
92,Kilmarnock,VA,Virginia
93,Maysville,WV,West Virginia
94,Turners,MO,Missouri
95,Newcastle,UT,Utah
96,Okabena,MN,Minnesota
97,Cabool,MO,Missouri
98,High Island,TX,Texas
99,Meadowbrook,WV,West Virginia
100,Taft,OK,Oklahoma
101,Birmingham,IA,Iowa
102,Byron,CA,California
103,Stacy,MN,Minnesota
104,Rathdrum,ID,Idaho
105,Caribou,ME,Maine
106,Sandy Ridge,NC,North Carolina
107,Farson,WY,Wyoming
108,Tallevast,FL,Florida
109,Butler,KY,Kentucky
110,Kelseyville,CA,California
111,Dorchester,SC,South Carolina
112,Judsonia,AR,Arkansas
113,Jordan,MT,Montana
114,Newkirk,OK,Oklahoma
115,Shallowater,TX,Texas
116,Leckrone,PA,Pennsylvania
117,Colp,IL,Illinois
118,Parrott,VA,Virginia
119,Riverdale,MI,Michigan
120,North Smithfield,RI,Rhode Island
121,Monett,MO,Missouri
122,Round Top,TX,Texas
123,Franklin,TN,Tennessee
124,Helena,OK,Oklahoma
125,Hollister,FL,Florida
126,Jerome,MI,Michigan
127,Reagan,TN,Tennessee
128,Hiawatha,KS,Kansas
129,Lunenburg,MA,Massachusetts
130,Longbranch,WA,Washington
131,Franklin,VT,Vermont
132,Odessa,MN,Minnesota
133,Dana,IN,Indiana
134,Poyntelle,PA,Pennsylvania
135,Mount Holly,VT,Vermont
136,Savoy,MA,Massachusetts
137,Randolph,TX,Texas
138,Hartstown,PA,Pennsylvania
139,Pearl River,LA,Louisiana
140,Denmark,TN,Tennessee
141,Windom,TX,Texas
142,Clark,MO,Missouri
143,East Spencer,NC,North Carolina
144,Avondale,CO,Colorado
145,Rio Linda,CA,California
146,Beattyville,KY,Kentucky
147,Euclid,OH,Ohio
148,Cement,OK,Oklahoma
149,Reed,KY,Kentucky
150,Brownsville,MN,Minnesota
151,Fayetteville,TX,Texas
152,Smelterville,ID,Idaho
153,Oto,IA,Iowa
154,Fountain Hill,AR,Arkansas
155,Lost Creek,WV,West Virginia
156,Fleming,PA,Pennsylvania
157,Chapman Ranch,TX,Texas
158,Strathcona,MN,Minnesota
159,Kershaw,SC,South Carolina
160,Marshall,TX,Texas
161,Shickshinny,PA,Pennsylvania
162,Bladensburg,MD,Maryland
163,Oceanside,CA,California
164,Georgetown,ID,Idaho
165,Manitowish Waters,WI,Wisconsin
166,Nursery,TX,Texas
167,Federal Way,WA,Washington
168,Hillside,CO,Colorado
169,Thomaston,TX,Texas
170,Everettville,WV,West Virginia
171,Tupper Lake,NY,New York
172,Fall Creek,OR,Oregon
173,Peterson,AL,Alabama
174,Cloverdale,OR,Oregon
175,Chestnut,IL,Illinois
176,Indiantown,FL,Florida
177,Banks,AR,Arkansas
178,Spur,TX,Texas
179,Princeton,NC,North Carolina
180,Madison,AR,Arkansas
181,Fanrock,WV,West Virginia
182,Rushville,NE,Nebraska
183,Roosevelt,TX,Texas
184,Rockland,ID,Idaho
185,Baldwin Place,NY,New York
186,La Mirada,CA,California
187,Nanuet,NY,New York
188,North Granville,NY,New York
189,Macdoel,CA,California
190,Mertzon,TX,Texas
191,Denton,NE,Nebraska
192,Shellman,GA,Georgia
193,West Greenwich,RI,Rhode Island
194,Hallie,KY,Kentucky
195,Palacios,TX,Texas
196,Jacksonville,VT,Vermont
197,Copperhill,TN,Tennessee
198,Old Monroe,MO,Missouri
199,Ilwaco,WA,Washington
200,Neola,IA,Iowa
201,Gilead,NE,Nebraska
202,East Derry,NH,New Hampshire
203,Bayside,TX,Texas
204,Junction,WV,West Virginia
205,Royal,NE,Nebraska
206,Humacao,PR,Puerto Rico
207,Gravity,IA,Iowa
208,Shageluk,AK,Alaska
209,Cochrane,WI,Wisconsin
210,Hayti,SD,South Dakota
211,Mackinaw City,MI,Michigan
212,Weyanoke,LA,Louisiana
213,Hinton,VA,Virginia
214,Dublin,NC,North Carolina
215,Tylertown,MS,Mississippi
216,Smith Mills,KY,Kentucky
217,Westhampton Beach,NY,New York
218,Jenkins,KY,Kentucky
219,Aladdin,WY,Wyoming
220,Thorsby,AL,Alabama
221,Peterman,AL,Alabama
222,Erwinville,LA,Louisiana
223,Floyd Dale,SC,South Carolina
224,Felton,MN,Minnesota
225,Winchester,IL,Illinois
226,White Oak,WV,West Virginia
227,Orocovis,PR,Puerto Rico
228,Dover,NH,New Hampshire
229,Bear Creek,AL,Alabama
230,Bois D Arc,MO,Missouri
231,McConnellstown,PA,Pennsylvania
232,Sharon,SC,South Carolina
233,Delton,MI,Michigan
234,Prewitt,NM,New Mexico
235,Farmersville,IL,Illinois
236,Bradenville,PA,Pennsylvania
237,Boulder City,NV,Nevada
238,Chemung,NY,New York
239,Avondale Estates,GA,Georgia
240,Yanceyville,NC,North Carolina
241,Hull,IL,Illinois
242,Byers,TX,Texas
243,Freedom,NY,New York
244,Triumph,IL,Illinois
245,Brixey,MO,Missouri
246,Randall,MN,Minnesota
247,Gladys,VA,Virginia
248,Bassett,VA,Virginia
249,Wellman,IA,Iowa
250,Pemberton,NJ,New Jersey
251,Ford Cliff,PA,Pennsylvania
252,Roscoe,IL,Illinois
253,Cabot,AR,Arkansas
254,Hayesville,IA,Iowa
255,Summerfield,NC,North Carolina
256,Owen,WI,Wisconsin
257,Schurz,NV,Nevada
258,Clarence,MO,Missouri
259,Maytown,PA,Pennsylvania
260,Inkster,ND,North Dakota
261,Hackettstown,NJ,New Jersey
262,Avoca,IN,Indiana
263,Tygh Valley,OR,Oregon
264,Wilburton,OK,Oklahoma
265,Broken Arrow,OK,Oklahoma
266,Capron,VA,Virginia
267,West Union,OH,Ohio
268,Locust Fork,AL,Alabama
269,Bay City,MI,Michigan
270,Blue Rapids,KS,Kansas
271,North Andover,MA,Massachusetts
272,Penngrove,CA,California
273,Sheppton,PA,Pennsylvania
274,Gramercy,LA,Louisiana
275,Warfield,VA,Virginia
276,Middleboro,MA,Massachusetts
277,Wilmington,NC,North Carolina
278,River Rouge,MI,Michigan
279,Kenton,KY,Kentucky
280,Council Bluffs,IA,Iowa
281,North Myrtle Beach,SC,South Carolina
282,Midpines,CA,California
283,Lodgepole,SD,South Dakota
284,Ridgeley,WV,West Virginia
285,Wilcox,PA,Pennsylvania
286,Fort Drum,NY,New York
287,Trementina,NM,New Mexico
288,Hornersville,MO,Missouri
289,Coffee Creek,MT,Montana
290,Powhatan Point,OH,Ohio
291,Gurley,AL,Alabama
292,Naco,AZ,Arizona
293,Calhan,CO,Colorado
294,Lake Lure,NC,North Carolina
295,Wellesley Island,NY,New York
296,Mullan,ID,Idaho
297,Madison,FL,Florida
298,Ottawa,OH,Ohio
299,Cayuga,TX,Texas
300,Manderson,SD,South Dakota
301,Ormsby,MN,Minnesota
302,Greenwood,DE,Delaware
303,Clayton,NM,New Mexico
304,Riddleton,TN,Tennessee
305,Mcgregor,ND,North Dakota
306,Greens Fork,IN,Indiana
307,Bangor,WI,Wisconsin
308,Starford,PA,Pennsylvania
309,Evansport,OH,Ohio
310,Hales Corners,WI,Wisconsin
311,Otterbein,IN,Indiana
312,North Jay,ME,Maine
313,Wheeler,OR,Oregon
314,McAlpin,FL,Florida
315,Manning,SC,South Carolina
316,Newington,VA,Virginia
317,Sarahsville,OH,Ohio
318,Penns Creek,PA,Pennsylvania
319,Dammeron Valley,UT,Utah
320,Grass Valley,OR,Oregon
321,Strasburg,VA,Virginia
322,Knoxville,IA,Iowa
323,Guadalupe,CA,California
324,Pulaski,WI,Wisconsin
325,Chandler,TX,Texas
326,Oneida,TN,Tennessee
327,Burkesville,KY,Kentucky
328,Mamers,NC,North Carolina
329,Shandon,OH,Ohio
330,Frankfort,MI,Michigan
331,Livingston,LA,Louisiana
332,Savannah,NY,New York
333,Mantador,ND,North Dakota
334,Rockford,IL,Illinois
335,Scotts Mills,OR,Oregon
336,Greenwell Springs,LA,Louisiana
337,La Grange,KY,Kentucky
338,Medusa,NY,New York
339,Fort Stewart,GA,Georgia
340,Cardwell,MO,Missouri
341,Kunkletown,PA,Pennsylvania
342,Burson,CA,California
343,Arpin,WI,Wisconsin
344,Badger,CA,California
345,York,PA,Pennsylvania
346,Arthur City,TX,Texas
347,Oak,NE,Nebraska
348,Perris,CA,California
349,Allensville,KY,Kentucky
350,Maida,ND,North Dakota
351,Antelope,MT,Montana
352,Owings,MD,Maryland
353,Smiths Creek,MI,Michigan
354,Art,TX,Texas
355,Midkiff,WV,West Virginia
356,Manchester,CA,California
357,Ulm,MT,Montana
358,Pleasant Valley,CT,Connecticut
359,Fielding,UT,Utah
360,Whittemore,IA,Iowa
361,Winthrop,AR,Arkansas
362,Mico,TX,Texas
363,Amma,WV,West Virginia
364,Bradshaw,WV,West Virginia
365,Portsmouth,VA,Virginia
366,Tarzan,TX,Texas
367,Willard,UT,Utah
368,Nemours,WV,West Virginia
369,Flemington,WV,West Virginia
370,Plumstead,PA,Pennsylvania
371,Somerville,VA,Virginia
372,Monroe,AR,Arkansas
373,Glenwood,MN,Minnesota
374,New Boston,TX,Texas
375,Jodie,WV,West Virginia
376,Cottonwood,MN,Minnesota
377,Bigelow,MN,Minnesota
378,Morton,MS,Mississippi
379,Highland Park,MI,Michigan
380,Dickens,TX,Texas
381,Bayville,NJ,New Jersey
382,Briggsville,WI,Wisconsin
383,Flora,IL,Illinois
384,Curwensville,PA,Pennsylvania
385,Thompsonville,NY,New York
386,Corydon,IA,Iowa
387,Sinks Grove,WV,West Virginia
388,Guayama,PR,Puerto Rico
389,Neavitt,MD,Maryland
390,Hosmer,SD,South Dakota
391,Port Hueneme Cbc Base,CA,California
392,Racine,MO,Missouri
393,Locust Grove,VA,Virginia
394,Orrick,MO,Missouri
395,North Little Rock,AR,Arkansas
396,Manorville,PA,Pennsylvania
397,Gunnison,MS,Mississippi
398,Levering,MI,Michigan
399,Harlem Springs,OH,Ohio
400,Morrowville,KS,Kansas
401,Wesley,AR,Arkansas
402,Columbia,IA,Iowa
403,Saint Clair,MO,Missouri
404,Covelo,CA,California
405,Medford,NY,New York
406,Catalina,AZ,Arizona
407,Lakeshore,CA,California
408,Wellston,MI,Michigan
409,Palmyra,IL,Illinois
410,Cavendish,VT,Vermont
411,Norton,TX,Texas
412,Cedarburg,WI,Wisconsin
413,Troy,NY,New York
414,Ashford,AL,Alabama
415,Saint Paul Island,AK,Alaska
416,Freeville,NY,New York
417,Saint Michael,PA,Pennsylvania
418,Lignite,ND,North Dakota
419,Sedan,KS,Kansas
420,Wauconda,IL,Illinois
421,Cripple Creek,CO,Colorado
422,Luna,NM,New Mexico
423,Guilford,MO,Missouri
424,Gloster,MS,Mississippi
425,Mount Vision,NY,New York
426,Coffeeville,AL,Alabama
427,Allenport,PA,Pennsylvania
428,Homewood,CA,California
429,Watha,NC,North Carolina
430,Markesan,WI,Wisconsin
431,Nobleboro,ME,Maine
432,Sycamore,GA,Georgia
433,Melbourne,FL,Florida
434,Clarendon,AR,Arkansas
435,Fayette,NY,New York
436,Eupora,MS,Mississippi
437,Rolling Fork,MS,Mississippi
438,Brule,WI,Wisconsin
439,Woodbury Heights,NJ,New Jersey
440,Timbo,AR,Arkansas
441,Skellytown,TX,Texas
442,Pennington,NJ,New Jersey
443,Bensalem,PA,Pennsylvania
444,Pendleton,TX,Texas
445,Millington,TN,Tennessee
446,Cascade,MT,Montana
447,Park Ridge,IL,Illinois
448,Davidsonville,MD,Maryland
449,Benge,WA,Washington
450,Sinking Spring,OH,Ohio
451,Clinton,LA,Louisiana
452,Huslia,AK,Alaska
453,Buna,TX,Texas
454,Port Royal,KY,Kentucky
455,Fults,IL,Illinois
456,Dickens,NE,Nebraska
457,Pasadena,TX,Texas
458,Dallas,OR,Oregon
459,Burden,KS,Kansas
460,Okanogan,WA,Washington
461,Millis,MA,Massachusetts
462,Cunningham,TN,Tennessee
463,La Place,LA,Louisiana
464,Barneston,NE,Nebraska
465,Littleton,MA,Massachusetts
466,Seagrove,NC,North Carolina
467,Flora Vista,NM,New Mexico
468,Pelham,AL,Alabama
469,Sturtevant,WI,Wisconsin
470,Frierson,LA,Louisiana
471,McBain,MI,Michigan
472,Morrison,CO,Colorado
473,Elgin,PA,Pennsylvania
474,Paris,MO,Missouri
475,Cowen,WV,West Virginia
476,Elkhorn,WI,Wisconsin
477,Mount Olive,AL,Alabama
478,Briar,MO,Missouri
479,Welches,OR,Oregon
480,Bunker Hill,IL,Illinois
481,Midlothian,IL,Illinois
482,Spring Hill,FL,Florida
483,Koshkonong,MO,Missouri
484,Ashland,MT,Montana
485,Deland,FL,Florida
486,Memphis,MO,Missouri
487,Chippewa Lake,OH,Ohio
488,Geronimo,TX,Texas
489,Laona,WI,Wisconsin
490,Trosper,KY,Kentucky
491,Centreville,MI,Michigan
492,Swannanoa,NC,North Carolina
493,Winnett,MT,Montana
494,Jacksonburg,WV,West Virginia
495,Anabel,MO,Missouri
496,Crumpler,NC,North Carolina
497,Elberta,AL,Alabama
498,Midway,TN,Tennessee
499,Lake Helen,FL,Florida
500,East Palatka,FL,Florida
501,Annapolis,IL,Illinois
502,Chokio,MN,Minnesota
503,Keswick,VA,Virginia
504,Caledonia,MS,Mississippi
505,Tryon,OK,Oklahoma
506,McCool Junction,NE,Nebraska
507,Atwater,IL,Illinois
508,Yorkville,CA,California
509,Creston,IA,Iowa
510,Tooele,UT,Utah
511,East Schodack,NY,New York
512,Cape May Point,NJ,New Jersey
513,Frankfort,IN,Indiana
514,Nederland,CO,Colorado
515,Argyle,MN,Minnesota
516,Randallstown,MD,Maryland
517,Marlow,OK,Oklahoma
518,Waverly,KY,Kentucky
519,Southfield,MI,Michigan
520,Honeydew,CA,California
521,American Fork,UT,Utah
522,Sunbury,OH,Ohio
523,Hayward,MN,Minnesota
524,Solen,ND,North Dakota
525,Collinsville,TX,Texas
526,Richmond,MO,Missouri
527,Jersey,VA,Virginia
528,Jim Thorpe,PA,Pennsylvania
529,Sullivan,IL,Illinois
530,Sterling City,TX,Texas
531,Goetzville,MI,Michigan
532,Butler,MD,Maryland
533,University Of Richmond,VA,Virginia
534,Findlay,IL,Illinois
535,Sedgwick,AR,Arkansas
536,Freehold,NY,New York
537,Camden,OH,Ohio
538,Mansura,LA,Louisiana
539,Diaz,AR,Arkansas
540,Bexar,AR,Arkansas
541,Augusta,ME,Maine
542,Madison,WI,Wisconsin
543,Washington Depot,CT,Connecticut
544,Shady Cove,OR,Oregon
545,Tulelake,CA,California
546,Hadlyme,CT,Connecticut
547,Dunbarton,NH,New Hampshire
548,Purdin,MO,Missouri
549,Hancocks Bridge,NJ,New Jersey
550,Paulding,OH,Ohio
551,Pitts,GA,Georgia
552,Dandridge,TN,Tennessee
553,Bumpass,VA,Virginia
554,South Barre,MA,Massachusetts
555,Lake Placid,FL,Florida
556,Ledbetter,TX,Texas
557,Bulger,PA,Pennsylvania
558,Mount Zion,WV,West Virginia
559,Santa Anna,TX,Texas
560,Elmira,OR,Oregon
561,Balfour,ND,North Dakota
562,Hanover Park,IL,Illinois
563,Tunnelton,WV,West Virginia
564,Hurricane,WV,West Virginia
565,Brentford,SD,South Dakota
566,Valparaiso,IN,Indiana
567,Pine Bank,PA,Pennsylvania
568,Piney Creek,NC,North Carolina
569,Los Olivos,CA,California
570,Methow,WA,Washington
571,Lakeside,MT,Montana
572,Gibson City,IL,Illinois
573,Woodland,IL,Illinois
574,Perrysville,IN,Indiana
575,Saronville,NE,Nebraska
576,Frontier,MI,Michigan
577,Holt,MI,Michigan
578,Florence,KS,Kansas
579,Ducor,CA,California
580,Peach Orchard,AR,Arkansas
581,Goodsprings,AL,Alabama
582,Jenkinsville,SC,South Carolina
583,Harrell,AR,Arkansas
584,Ninnekah,OK,Oklahoma
585,Chase,MD,Maryland
586,Honeoye Falls,NY,New York
587,Jolo,WV,West Virginia
588,Pittsfield,IL,Illinois
589,South Amboy,NJ,New Jersey
590,Sidney,OH,Ohio
591,Macks Creek,MO,Missouri
592,Jamestown,NM,New Mexico
593,Grace City,ND,North Dakota
594,Goodfellow AFB,TX,Texas
595,New Paltz,NY,New York
596,Cottleville,MO,Missouri
597,Monticello,SC,South Carolina
598,Norwalk,WI,Wisconsin
599,Dillwyn,VA,Virginia
600,Sherman,TX,Texas
601,Craddockville,VA,Virginia
602,Kountze,TX,Texas
603,Woodbine,MD,Maryland
604,Aristes,PA,Pennsylvania
605,Ripley,NY,New York
606,Wilsons Mills,NC,North Carolina
607,Ward,SC,South Carolina
608,Bakersville,NC,North Carolina
609,Rochelle,GA,Georgia
610,Payette,ID,Idaho
611,Youngstown,PA,Pennsylvania
612,Mahomet,IL,Illinois
613,Nashwauk,MN,Minnesota
614,Belleville,MI,Michigan
615,Bowerston,OH,Ohio
616,Dagmar,MT,Montana
617,Guinda,CA,California
618,Webb,IA,Iowa
619,Goodell,IA,Iowa
620,Vincentown,NJ,New Jersey
621,Haddam,CT,Connecticut
622,Sealy,TX,Texas
623,Gloucester,MA,Massachusetts
624,Oceanside,NY,New York
625,Bishopville,SC,South Carolina
626,Long Lake,MI,Michigan
627,Iliff,CO,Colorado
628,El Mirage,AZ,Arizona
629,Byron,NY,New York
630,Tate,GA,Georgia
631,Pasco,WA,Washington
632,Great Bend,KS,Kansas
633,Woodman,WI,Wisconsin
634,Edison,NE,Nebraska
635,Weyerhaeuser,WI,Wisconsin
636,Houston,MO,Missouri
637,Winger,MN,Minnesota
638,Avoca,MI,Michigan
639,Latham,MO,Missouri
640,Bloom,KS,Kansas
641,Mount Vernon,AR,Arkansas
642,Saxon,WI,Wisconsin
643,Gridley,CA,California
644,Bedminster,NJ,New Jersey
645,Picatinny Arsenal,NJ,New Jersey
646,Kincheloe,MI,Michigan
647,Wolcott,CT,Connecticut
648,Rock Island,IL,Illinois
649,Tokio,ND,North Dakota
650,Newborn,GA,Georgia
651,Carleton,NE,Nebraska
652,Richfield,ID,Idaho
653,Trinity,AL,Alabama
654,Longville,MN,Minnesota
655,Claysville,PA,Pennsylvania
656,West Chicago,IL,Illinois
657,Latexo,TX,Texas
658,Many,LA,Louisiana
659,Salinas,CA,California
660,Davis,CA,California
661,Carrollton,MO,Missouri
662,Slaterville Springs,NY,New York
663,Liberty,IL,Illinois
664,Wayland,KY,Kentucky
665,Tingley,IA,Iowa
666,Twin Brooks,SD,South Dakota
667,Altona,NY,New York
668,Monroe,WI,Wisconsin
669,Port Alexander,AK,Alaska
670,New Vernon,NJ,New Jersey
671,Wyoming,IA,Iowa
672,Tuskahoma,OK,Oklahoma
673,Scottville,NC,North Carolina
674,Idlewild,TN,Tennessee
675,Petersburg,OH,Ohio
676,Durand,IL,Illinois
677,Callaway,VA,Virginia
678,New Richmond,WV,West Virginia
679,Matador,TX,Texas
680,Alkol,WV,West Virginia
681,Chandlersville,OH,Ohio
682,Williford,AR,Arkansas
683,Dunlap,CA,California
684,Laie,HI,Hawaii
685,Clearview City,KS,Kansas
686,Climax,MN,Minnesota
687,Clarksville,TX,Texas
688,Pine Grove,PA,Pennsylvania
689,Holden,MO,Missouri
690,Ossian,IA,Iowa
691,Hartsville,SC,South Carolina
692,Morrisville,PA,Pennsylvania
693,Raven,VA,Virginia
694,Brookwood,AL,Alabama
695,Denton,TX,Texas
696,Oak Run,CA,California
697,Luzerne,PA,Pennsylvania
698,Lincoln University,PA,Pennsylvania
699,Waterloo,OH,Ohio
700,Newton Grove,NC,North Carolina
701,Holmesville,OH,Ohio
702,Devine,TX,Texas
703,Braintree,MA,Massachusetts
704,Keytesville,MO,Missouri
705,Fairview,WY,Wyoming
706,Las Animas,CO,Colorado
707,Sonnette,MT,Montana
708,Blackstone,IL,Illinois
709,Parma,ID,Idaho
710,Euless,TX,Texas
711,Oak Hill,OH,Ohio
712,Sawyer,OK,Oklahoma
713,Midland,AR,Arkansas
714,Senecaville,OH,Ohio
715,Shorter,AL,Alabama
716,Louisiana,MO,Missouri
717,East Brady,PA,Pennsylvania
718,La Vista,NE,Nebraska
719,Paterson,NJ,New Jersey
720,Protection,KS,Kansas
721,Perry Point,MD,Maryland
722,Chimney Rock,CO,Colorado
723,Union,NE,Nebraska
724,Vesta,VA,Virginia
725,Riverdale,GA,Georgia
726,Gilcrest,CO,Colorado
727,Moncks Corner,SC,South Carolina
728,Freedom,CA,California
729,Conestoga,PA,Pennsylvania
730,Mead,WA,Washington
731,Schaefferstown,PA,Pennsylvania
732,Lowry City,MO,Missouri
733,Pawleys Island,SC,South Carolina
734,Kinney,MN,Minnesota
735,Van Lear,KY,Kentucky
736,Bloomingburg,NY,New York
