id,location_id,zip,latitude,longitude,timezone,daylight_savings
1,"23,173",16820,40.908997,-77.42424,-5,TRUE
2,"16,067",36310,31.599256,-85.2094,-6,TRUE
3,"28,070",31001,31.972626,-83.33082,-5,TRUE
4,"8,239",70510,29.943573,-92.14872,-6,TRUE
5,"8,239",70511,30.032434,-92.176655,-6,TRUE
6,"9,305",38601,34.489297,-89.47412,-6,TRUE
7,"9,657",29620,34.189812,-82.41245,-5,TRUE
8,"18,223",4406,45.221933,-69.49039,-5,TRUE
9,"15,708",54405,44.950905,-90.30486,-6,TRUE
10,"21,477",76621,31.884263,-97.08385,-6,TRUE
11,"2,683",17301,39.891548,-76.98359,-5,TRUE
12,"16,095",67510,37.992099,-98.22479,-6,TRUE
13,"12,831",20606,38.250996,-76.73974,-5,TRUE
14,"5,409",58001,46.448462,-96.73165,-6,TRUE
15,"16,698",83210,42.97228,-112.83218,-7,TRUE
16,"24,997",42201,37.279564,-86.670181,-6,TRUE
17,"25,371",21001,39.508177,-76.18066,-5,TRUE
18,"24,825",39730,33.833689,-88.55463,-6,TRUE
19,"20,798",28315,35.12416,-79.4415,-5,TRUE
20,"17,242",45101,38.671655,-83.75693,-5,TRUE
21,"22,104",57401,45.46932,-98.49646,-6,TRUE
22,"22,104",57402,45.589567,-98.352014,-6,TRUE
23,"5,082",98520,46.972965,-123.81923,-8,TRUE
24,"23,236",21005,39.473451,-76.14083,-5,TRUE
25,"6,372",35440,33.311014,-87.18975,-6,TRUE
26,"3,060",79311,33.857895,-101.88156,-6,TRUE
27,"5,445",68001,41.334744,-96.94965,-6,TRUE
28,"27,625",67410,38.94112,-97.21973,-6,TRUE
29,"21,533",79601,32.500532,-99.69803,-6,TRUE
30,"21,533",79602,32.40769,-99.72107,-6,TRUE
31,"21,533",79603,32.466724,-99.76927,-6,TRUE
32,"21,533",79604,32.428796,-99.795167,-6,TRUE
33,"21,533",79605,32.432975,-99.77096,-6,TRUE
34,"21,533",79606,32.360362,-99.79886,-6,TRUE
35,"21,533",79608,32.302132,-99.890737,-6,TRUE
36,"21,533",79697,32.302132,-99.890737,-6,TRUE
37,"21,533",79698,32.475074,-99.73484,-6,TRUE
38,"21,533",79699,32.466474,-99.711665,-6,TRUE
39,"11,093",61410,40.802633,-90.39766,-6,TRUE
40,"29,170",21009,39.473899,-76.2983,-5,TRUE
41,"9,528",24210,36.728639,-82.00845,-5,TRUE
42,"9,528",24211,36.657812,-81.96207,-5,TRUE
43,"9,528",24212,36.690942,-81.970764,-5,TRUE
44,"20,458",6230,41.847302,-72.02528,-5,TRUE
45,"12,751",2351,42.119534,-70.94787,-5,TRUE
46,"4,264",19001,40.127907,-75.12695,-5,TRUE
47,"20,832",87510,36.2996,-106.40596,-7,TRUE
48,"2,755",70420,30.482725,-90.00103,-6,TRUE
49,"4,226",54101,44.788898,-88.04535,-6,TRUE
50,"14,577",58002,46.859694,-97.214587,-6,TRUE
51,"19,499",59001,45.522248,-109.48875,-7,TRUE
52,"10,411",8205,39.471263,-74.502457,-5,TRUE
53,"10,411",8201,39.457517,-74.50914,-5,TRUE
54,"3,368",95220,38.200193,-121.23505,-8,TRUE
55,"14,738",21520,39.629925,-79.31377,-5,TRUE
56,"21,646",20607,38.672216,-77.01807,-5,TRUE
57,"18,807",23301,37.713561,-75.67108,-5,TRUE
58,"8,972",2018,41.970474,-70.701357,-5,TRUE
59,"14,437",12404,41.811322,-74.23471,-5,TRUE
60,"16,768",25606,37.75979,-81.82027,-5,TRUE
61,"9,007",77326,30.519883,-94.81869,-6,TRUE
62,"17,849",74720,33.83464,-96.39018,-6,TRUE
63,"15,095",23001,37.293165,-76.41057,-5,TRUE
64,"10,873",79713,32.520297,-101.73528,-6,TRUE
65,"9,594",39735,33.371974,-89.17616,-6,TRUE
66,"5,885",18010,40.693376,-75.471156,-5,TRUE
67,"7,657",50601,42.563333,-93.04954,-6,TRUE
68,"16,947",50001,41.363615,-93.41494,-6,TRUE
69,"13,701",71316,31.252471,-91.77031,-6,TRUE
70,"26,095",49610,44.789382,-85.488449,-5,TRUE
71,"21,556",15610,40.138405,-79.42425,-5,TRUE
72,"15,454",98220,48.681582,-122.1977,-8,TRUE
73,"18,982",15520,40.112153,-79.06772,-5,TRUE
74,"14,055",12405,42.320081,-74.07288,-5,TRUE
75,"4,183",93510,34.497245,-118.18951,-8,TRUE
76,"2,165",1720,42.477142,-71.4422,-5,TRUE
77,"16,406",4001,43.548123,-70.93189,-5,TRUE
78,"2,676",56432,45.910946,-94.633724,-6,TRUE
79,"12,209",59002,45.932174,-108.68933,-7,TRUE
80,"6,369",2743,41.697015,-70.91019,-5,TRUE
81,"23,159",30101,34.052285,-84.68483,-5,TRUE
82,"23,159",30102,34.097998,-84.6183,-5,TRUE
83,"16,069",3601,43.242719,-72.30269,-5,TRUE
84,"6,708",49355,43.031413,-85.550267,-5,TRUE
85,"6,708",49356,43.031413,-85.550267,-5,TRUE
86,"6,708",49357,43.031413,-85.550267,-5,TRUE
87,"6,708",49301,42.97252,-85.47798,-5,TRUE
88,"3,133",56510,47.322444,-96.51915,-6,TRUE
89,"26,185",45810,40.774039,-83.81821,-5,TRUE
90,"16,969",74520,34.772557,-96.661745,-6,TRUE
91,"16,969",74820,34.780243,-96.68761,-6,TRUE
92,"16,969",74821,34.735301,-96.669321,-6,TRUE
93,"5,323",15410,39.918848,-79.90832,-5,TRUE
94,"14,743",50002,41.507565,-94.64805,-6,TRUE
95,"8,372",61411,40.401282,-90.50153,-6,TRUE
96,"29,562",74330,36.434328,-95.25512,-6,TRUE
97,"3,807",30103,34.368647,-84.92452,-5,TRUE
98,"23,868",42202,36.681441,-86.85365,-6,TRUE
99,"3,071",99546,51.87957,-176.63675,-10,TRUE
100,"4,475",5640,44.354296,-72.49053,-5,TRUE
101,"25,079",41201,38.076051,-82.73975,-5,TRUE
102,"10,041",1220,42.619727,-73.11842,-5,TRUE
103,"9,760",55909,43.564175,-92.72645,-6,TRUE
104,"22,033",58210,48.391059,-98.11173,-6,TRUE
105,"28,009",68301,40.472055,-96.52637,-6,TRUE
106,"12,118",13605,43.807654,-76.04936,-5,TRUE
107,"23,484",73901,36.756145,-101.07462,-6,TRUE
108,"28,857",97810,45.719133,-118.46578,-8,TRUE
109,"2,630",37010,36.569635,-87.10026,-6,TRUE
110,"9,405",53910,43.908737,-89.80722,-6,TRUE
111,"25,199",14410,43.195261,-77.855883,-5,TRUE
112,"6,895",15611,40.3044,-79.65604,-5,TRUE
113,"22,151",13606,43.871728,-76.00793,-5,TRUE
114,"6,735",29426,32.790622,-80.38489,-5,TRUE
115,"16,964",21710,39.301647,-77.46667,-5,TRUE
116,"8,055",19501,40.241588,-76.05765,-5,TRUE
117,"26,802",35005,33.592585,-86.95969,-6,TRUE
118,"12,733",43802,40.090643,-81.86556,-5,TRUE
119,"27,246",16110,41.508647,-80.37501,-5,TRUE
120,"29,554",2801,41.530131,-71.284066,-5,TRUE
121,"27,903",38310,35.241412,-88.38425,-6,TRUE
122,"6,455",62214,38.377193,-89.55998,-6,TRUE
123,"29,686",73520,34.243494,-97.93843,-6,TRUE
124,"3,378",70710,30.350306,-91.26121,-6,TRUE
125,"17,765",35540,34.223057,-87.17232,-6,TRUE
126,"28,537",60101,41.931573,-88.00222,-6,TRUE
127,"28,537",60114,41.839679,-88.088716,-6,TRUE
128,"8,401",4606,44.556073,-67.70122,-5,TRUE
129,"29,421",49220,41.992765,-84.3329,-5,TRUE
130,"27,955",14801,42.104389,-77.28857,-5,TRUE
131,"17,271",15411,39.751296,-79.35113,-5,TRUE
132,"11,521",75001,32.96129,-96.83751,-6,TRUE
133,"2,137",99101,48.305861,-117.94318,-8,TRUE
134,"8,324",45001,39.137818,-84.7079,-5,TRUE
135,"4,509",31620,31.133004,-83.42736,-5,TRUE
136,"2,234",50003,41.612628,-94.03587,-6,TRUE
137,"19,085",97620,42.227477,-119.88141,-8,TRUE
138,"16,261",92031,34.587473,-117.406293,-8,TRUE
139,"16,261",92301,34.641695,-117.50803,-8,TRUE
140,"15,764",53001,43.61014,-88.03047,-6,TRUE
141,"23,279",43101,39.466041,-82.7457,-5,TRUE
142,"1,271",7710,40.302718,-74.24928,-5,TRUE
143,"14,897",43901,40.223285,-80.87017,-5,TRUE
144,"14,238",35006,33.451714,-87.23957,-6,TRUE
145,"29,819",96006,41.190742,-120.90294,-8,TRUE
146,"14,165",12808,43.758733,-73.76206,-5,TRUE
147,"2,737",601,18.180103,-66.74947,-4,FALSE
148,"5,764",78101,29.326804,-98.21887,-6,TRUE
149,"5,532",66830,38.614057,-96.08821,-6,TRUE
150,"19,901",98522,46.571323,-123.298384,-8,TRUE
151,"11,483",55701,47.640367,-92.442797,-6,TRUE
152,"1,466",42120,36.661883,-86.25964,-6,TRUE
153,"14,578",72001,35.058503,-92.88762,-6,TRUE
154,"6,374",31002,32.549854,-82.56948,-5,TRUE
155,"6,758",62310,40.416145,-91.205805,-6,TRUE
156,"5,720",49221,41.900927,-84.04585,-5,TRUE
157,"2,162",56110,43.626278,-95.93973,-6,TRUE
158,"27,357",64720,38.40388,-94.34512,-6,TRUE
159,"25,193",44801,41.090712,-83.365404,-5,TRUE
160,"20,997",97901,43.661247,-117.07192,-7,TRUE
161,"10,496",16210,40.885328,-79.52058,-5,TRUE
162,"19,999",79001,35.2195,-102.71795,-6,TRUE
163,"12,739",26210,38.900064,-80.26795,-5,TRUE
164,"16,107",46102,39.996577,-86.61928,-5,FALSE
165,"10,271",63730,37.101789,-89.91359,-6,TRUE
166,"10,742",27006,35.954679,-80.44132,-5,TRUE
167,"23,266",25231,38.597265,-81.57934,-5,TRUE
168,"24,845",50830,41.029408,-94.21128,-6,TRUE
169,"26,913",49705,45.355074,-84.47898,-5,TRUE
170,"22,769",55001,44.903133,-92.81904,-6,TRUE
171,"29,369",13730,42.232991,-75.53429,-5,TRUE
172,"10,008",74331,36.618326,-94.93424,-6,TRUE
173,"16,053",37616,36.218863,-82.74704,-5,TRUE
174,"14,551",79220,33.749303,-100.76393,-6,TRUE
175,"29,550",22920,37.987812,-78.79701,-5,TRUE
176,"26,363",53501,42.605454,-89.070448,-6,TRUE
177,"25,430",83110,42.681301,-110.92196,-7,TRUE
178,"20,575",57520,44.830961,-100.11167,-6,TRUE
179,"11,250",80101,39.378712,-104.02409,-7,TRUE
180,"16,651",58310,48.617378,-99.63453,-6,TRUE
181,"19,278",1001,42.07061,-72.62029,-5,TRUE
182,"14,765",52530,40.995466,-92.30407,-6,TRUE
183,"18,102",64401,39.627397,-94.72215,-6,TRUE
184,"13,232",66930,39.718857,-97.49191,-6,TRUE
185,"2,205",40801,36.858906,-83.2528,-5,TRUE
186,"16,993",97406,42.625928,-124.05435,-8,TRUE
187,"6,652",91301,34.139536,-118.7607,-8,TRUE
188,"6,652",91376,33.786594,-118.298662,-8,TRUE
189,"15,160",67621,39.792611,-99.13229,-6,TRUE
190,"1,539",74824,35.883914,-96.86735,-6,TRUE
191,"22,958",602,18.363285,-67.18024,-4,FALSE
192,"4,312",603,18.448619,-67.13422,-4,FALSE
193,"4,312",605,18.465162,-67.141486,-4,FALSE
194,"4,312",604,18.498987,-67.13699,-4,FALSE
195,"9,743",78330,27.782267,-97.90134,-6,TRUE
196,"2,763",92536,33.485978,-116.82004,-8,TRUE
197,"20,133",703,18.246205,-66.12827,-4,FALSE
198,"20,133",607,18.256995,-66.104657,-4,FALSE
199,"14,063",85320,33.945183,-113.19837,-7,FALSE
200,"27,662",81020,37.400041,-104.66016,-7,TRUE
201,"13,236",704,17.970112,-66.22291,-4,FALSE
202,"4,009",56430,46.862332,-94.641872,-6,TRUE
203,"3,453",49901,47.297841,-88.39491,-5,TRUE
204,"11,196",27910,36.293352,-76.98612,-5,TRUE
205,"4,354",83520,46.505902,-116.3187,-8,TRUE
206,"29,482",93601,37.388698,-119.72439,-8,TRUE
207,"8,971",609,18.142002,-66.273278,-4,FALSE
208,"8,971",705,18.12942,-66.26541,-4,FALSE
209,"24,255",96701,21.389167,-157.93091,-10,FALSE
210,"26,187",29801,33.569885,-81.71368,-5,TRUE
211,"26,187",29802,33.723519,-81.59072,-5,TRUE
212,"26,187",29803,33.486049,-81.70946,-5,TRUE
213,"26,187",29804,33.53773,-81.599891,-5,TRUE
214,"26,187",29805,33.650812,-81.61561,-5,TRUE
215,"26,187",29808,33.53773,-81.599891,-5,TRUE
216,"30,309",79221,34.071514,-101.30313,-6,TRUE
217,"17,526",30410,32.196136,-82.50985,-5,TRUE
218,"4,913",71401,31.769334,-91.97998,-6,TRUE
219,"4,608",52201,41.320371,-91.54755,-6,TRUE
220,"16,503",69210,42.530382,-99.88206,-6,TRUE
221,"23,697",17302,39.80954,-76.40849,-5,TRUE
222,"22,105",99001,47.642922,-117.59149,-8,TRUE
223,"7,897",56431,46.507241,-93.66458,-6,TRUE
224,"20,785",85321,32.331853,-112.78694,-7,FALSE
225,"22,089",57420,45.327593,-100.12424,-6,TRUE
226,"18,027",56433,46.977161,-94.70512,-6,TRUE
227,"24,107",70421,30.612371,-90.405312,-6,TRUE
228,"17,989",99551,60.88981,-161.42393,-9,TRUE
229,"7,347",99552,60.911865,-161.22577,-9,TRUE
230,"29,344",62805,37.994296,-88.941665,-6,TRUE
231,"8,947",35441,32.871514,-87.73326,-6,TRUE
232,"7,485",80720,40.124199,-103.18362,-7,TRUE
233,"2,440",51001,42.819093,-96.48967,-6,TRUE
234,"3,819",46910,41.040643,-86.03829,-5,FALSE
235,"4,478",48701,43.587817,-83.53468,-5,TRUE
236,"5,949",14001,43.024559,-78.50414,-5,TRUE
237,"23,066",44301,41.043955,-81.51919,-5,TRUE
238,"23,066",44302,41.089405,-81.53973,-5,TRUE
239,"23,066",44303,41.103205,-81.53625,-5,TRUE
240,"23,066",44304,41.081788,-81.50745,-5,TRUE
241,"23,066",44305,41.073606,-81.46278,-5,TRUE
242,"23,066",44306,41.046055,-81.49039,-5,TRUE
243,"23,066",44307,41.069605,-81.54591,-5,TRUE
244,"23,066",44308,41.081755,-81.51813,-5,TRUE
245,"23,066",44309,41.096205,-81.512338,-5,TRUE
246,"23,066",44310,41.107655,-81.50091,-5,TRUE
247,"23,066",44311,41.063055,-81.51906,-5,TRUE
248,"23,066",44312,41.034156,-81.43944,-5,TRUE
249,"23,066",44313,41.123588,-81.57129,-5,TRUE
250,"23,066",44314,41.040155,-81.55914,-5,TRUE
251,"23,066",44315,41.027977,-81.463238,-5,TRUE
252,"23,066",44316,41.067506,-81.484686,-5,TRUE
253,"23,066",44317,41.052455,-81.529139,-5,TRUE
254,"23,066",44319,40.990922,-81.52953,-5,TRUE
255,"23,066",44320,41.083155,-81.57022,-5,TRUE
256,"23,066",44321,41.102587,-81.65092,-5,TRUE
257,"23,066",44322,41.043496,-81.58536,-5,TRUE
258,"23,066",44325,41.076425,-81.51026,-5,TRUE
259,"23,066",44326,41.172713,-81.472701,-5,TRUE
260,"23,066",44328,41.075955,-81.520588,-5,TRUE
261,"23,066",44333,41.144661,-81.61948,-5,TRUE
262,"23,066",44334,41.128705,-81.53999,-5,TRUE
263,"23,066",44372,41.128705,-81.53999,-5,TRUE
264,"23,066",44393,41.128705,-81.53999,-5,TRUE
265,"23,066",44396,41.128705,-81.53999,-5,TRUE
266,"23,066",44397,41.071603,-81.525556,-5,TRUE
267,"23,066",44398,41.128705,-81.53999,-5,TRUE
268,"23,066",44399,41.128705,-81.53999,-5,TRUE
269,"9,466",17501,40.156472,-76.204,-5,TRUE
270,"30,338",99553,54.098693,-165.88176,-9,TRUE
271,"20,745",14003,42.998052,-78.184813,-5,TRUE
272,"9,089",35007,33.232422,-86.80871,-6,TRUE
273,"5,373",32615,29.801949,-82.48872,-5,TRUE
274,"5,373",32616,29.790674,-82.49351,-5,TRUE
275,219,82710,44.776684,-104.22425,-7,TRUE
276,"22,722",99554,62.683391,-164.65455,-9,TRUE
277,"4,343",27201,36.031836,-79.485643,-5,TRUE
278,"6,479",94502,37.734379,-122.23952,-8,TRUE
279,"6,479",94501,37.769528,-122.25937,-8,TRUE
280,"14,741",94507,37.856683,-122.02488,-8,TRUE
281,"12,727",30411,32.146031,-82.792,-5,TRUE
282,"12,723",47916,39.983709,-87.05507,-5,FALSE
283,"19,868",58830,48.586475,-103.46708,-6,TRUE
284,"13,811",89001,37.381946,-115.31502,-8,TRUE
285,883,38001,35.796157,-89.14016,-6,TRUE
286,"29,078",78516,26.175021,-98.11969,-6,TRUE
287,"17,309",88311,32.695546,-105.612595,-7,TRUE
288,"17,309",88310,32.839921,-105.97561,-7,TRUE
289,"22,688",81101,37.471802,-105.83471,-7,TRUE
290,"22,688",81102,37.476026,-105.881779,-7,TRUE
291,"6,077",79002,35.201105,-100.74939,-6,TRUE
292,"21,001",49706,45.431122,-84.77654,-5,TRUE
293,"23,927",31622,31.379665,-83.21803,-5,TRUE
294,"23,510",49611,44.976915,-84.97282,-5,TRUE
295,"1,892",64830,37.236623,-94.42087,-6,TRUE
