"id","name"
663,challenger
744,"94"
569,topaz
766,spezial
941,smoked stout
186,chestnut
956,animals
413,espresso
"1,092",czech pun
716,jack daniels
63,oats
722,imperial rye
795,india brown ale
954,grodziskie
203,marynka
520,sake rice
906,cluster
671,brett trois
690,landbier
768,el dorado
546,pinot noir
611,strict imperial stout
739,kumquat
360,cellar favorite
474,zinfandel
889,templeton
329,centennial
362,pediococcus
639,flemish red
910,blood orange
835,kernel pale ale
893,cashew
268,bread
"1,023",buffalo trace
799,coffee brown
429,peat
526,sake yeast
232,spartan
574,calypso
668,brett drie
938,lapsang souchong
379,motueka
158,series
317,blonde ale
579,bravo
909,dandelions
565,pacific jade
"1,000",dark saison
"1,034",kiwi
437,boysenberry
851,cidre normandie
182,pumpkin stout
221,pear
300,four roses
192,cinnamon
861,imperial pale lager
960,blackberry
829,kveik
389,golding
970,blue corn
467,bog myrtle
172,vanilla
102,orange peel
499,rye wine
"1,068",varietal honey
193,cinnamon
"1,049",hemp
356,gluten-reduced
511,buckwheat
641,fruit saison
460,trappist
933,corn lager
456,frankenbierfest
750,salt
922,sweet cider
550,sterling
968,export lager
"1,065",peanut
947,whiskey malt
"1,007",ron pattinson
378,raspberry
756,festbier
"1,095",new world pils
575,white wine barrel
130,bourbon barrel
190,pumpkin spice
545,maibock
765,ahtanum
660,klosterbrauerei
406,rogue rebel
593,hommelbier
501,black rye ipa
"1,053",hbc 344
916,star thistle honey
160,pumpkin
798,pine needles
894,hallertau blanc
394,pistachio
674,marionberry
967,dortmunder
925,jonathan
883,grapes
349,american oak
780,nz epa
558,champagne yeast
847,american amber
344,english barleywine
371,barrel fermented
591,belgian pale ale
867,second runnings
944,apple wood
651,rbsh
895,logger
483,session stout
80,spruce
881,sour mash
"1,038",green tea
868,schankbier
"1,086",lemondrop
708,islay whiskey
433,pioneer
770,sherry barrel
295,smoked porter
308,wood aged
449,grisette
805,spelt
871,session saison
985,unfiltriertes
581,strisselspalt
984,zwickel
"1,082",rogue farms
842,grand cru
"1,058",melomel
667,northdown
211,empire
772,zeus
425,maris otter
702,imperial altbier
646,charity
259,sugar
390,sea-buckthorn
324,triple ipa
995,oud bruin
567,helga
576,table beer
731,hibiscus
973,xxx
"1,073","96"
628,cloudberry
658,whole cone
972,chardonnay
638,druivenlambik
208,oak aged
596,orange
627,medium dry cider
419,freeze distillation
884,poor richards
74,yuzu
785,export stout
214,mcintosh
521,emmerbier
3,gose
865,kellerpils
640,lambic - framboise
"1,078",sybilla
"1,056",jonge lambik
932,semi-dry cider
624,gluten free
719,coffee porter
305,dry hopped
650,muscat
721,pomegranate
"1,081",burton ale
464,abbey
841,international
836,calvados barrel
"1,066",metheglin
920,hopped cider
161,barrel aged
52,hopfenweisse
482,chocolate stout
849,blueberry
177,sage
994,session ale
834,annafest
468,east kent goldings
571,ella
793,biscuits
738,lemon
677,styrian golding
620,hazelnut
495,scotch
878,rose hips
337,mosaic
551,bramling cross
568,black pale ale
937,smoked barley wine
336,double dry hopped
597,brewers gold
"1,024",ariana
218,golden russet
557,green bullet
682,styrian aurora
447,coriander
940,black barleywine
711,bacon
971,american pilsner
678,winter ale
"1,063",orange blossom honey
54,"1001 beers you must taste before you die"
185,juniper
496,maple
231,liberty apples
673,admiral
904,floor malted
794,dates
514,millet
445,bayrischer anstich
698,doppelsticke
466,amaranth
645,cuvee
384,sorachi ace
862,equinox
525,eureka
"1,015",ordinary bitter
554,santiam
741,grapefruit
303,perle
179,cucumber
796,mint
790,pecan
488,mexican chocolate
988,zoigl
333,bottleworks
927,dry cider
479,cedar
935,makers mark
965,pre-prohibition
990,spalt tradition
313,gabf 2015
441,milk stout
559,single hop
148,saaz
845,anise
10,hallertau tradition
450,golden stout
124,pumpkin ale
286,northern brewer
338,warrior
679,export
934,super alcohol
399,cherry
533,beer camp
839,apple brandy
874,gruit
414,american stout
629,bilberry
131,chiles
306,music
979,kommunbrauerei
251,peanut butter
71,bitter orange peel
964,ginseng
775,rogue revolution
621,ratebeer
879,kentucky common
207,apple wine
767,plum
873,gin barrel
707,weihnachtsbier
840,dark tripel
710,jim beam
"1,067",acerglyn
321,saphir
"1,074",apple
953,rauchmarzen
908,sour saison
455,rum barrel
342,wee heavy
"1,043",coffee ipa
155,variant
"1,026",experimental hop
595,brettanomyces bruxellensis
"1,037",asian pear
"1,055",oude lambik
604,barrel aged coffee stout
"1,051",single hop nelson
142,chipotle
810,lemon verbena
416,nugget
"1,047",amaretto
599,patersbier
486,lubelski
723,double rye
"1,096",gin
917,taxes
892,arrogant bastard
296,rauchbier
529,roggenbier
"1,012",azacca
"1,050",hop harvest
530,ur-weisse
"1,039",black and tan
"1,099",honeysuckle
261,lactose
405,breakfast
393,riesling
537,herkules
996,cabernet
598,belgian ipa
"1,001",sourdough
"1,019",solera
494,port barrel
"1,005",imperial mild
969,mexican lager
"1,093",imperial witbier
402,coffee stout
887,eau de vie
188,dark sour
538,taurus
717,reserva
301,rye
497,cognac
713,figs
531,walnut
590,kaffir lime leaves
"1,013",truffle
510,raisin
183,cascade
294,cacao nibs
828,hopless
885,smaragd
589,sour ipa
734,mandarina
325,canned
625,fruit cider
2,dry-hopped sour
626,farmhouse
931,sidra natural
431,target
572,west coast
489,belgian stout
51,lemon balm
560,wheat lager
"1,032",single malt
166,habanero
779,easter
79,sour wheat
395,nuts
163,honey
422,strawberry
312,organic
"1,011",lemon peel
888,cardamom
"1,008",small beer
657,new england ipa
162,nutmeg
675,"90 shilling"
824,sahti
961,nectarine
992,brett ipa
84,brettanomyces
"1,046",southern cross
485,gabf2013
180,brandy barrel
370,michael jackson 500
605,brandy
800,coffee brown
62,mango
632,lactobacillus
528,rye barrel
187,tequila barrel
246,brown porter
"1,083",black ipl
331,chinook
412,molasses
774,rogue independent
816,cactus
"1,048",polaris
"1,009",watermelon
709,bacon
230,ctz
843,real ale
6,magnum
681,cherry wood
316,anniversary
206,sparkling cider
409,willamette
"1,018",best bitter
"1,054",oude lambik
"1,027",american ipa
753,organic hops
472,liberty
661,rauchbock
703,enigma
"1,017",glacier
367,"100 belgian"
755,vanguard
"1,064",banana
215,cortland
783,tonka beans
106,nitro
323,sparkling
"1,071",fastenbier
76,peach
365,gueuze - strict
957,pluot
684,"80 shilling"
375,corn
34,apricot
808,french bdg
618,pure imperial stout
92,guava
184,special b
357,wheat ipa
366,foudre
310,vanilla porter
555,wine yeast
647,merlot
820,peppercorn
942,rauchweizen
905,nz pilsner
977,ungespundet
688,steinbier
326,citra
757,vollbier
89,french oak
791,nut brown
743,lemongrass
745,kosher
913,"100% brett"
649,locally sourced
386,cane sugar
"1,060",pyment
"1,062",sack mead
864,jasny
86,chardonnay barrel
877,red grapes
459,pineapple
372,michael rudolf 100
436,cranberry
264,columbus
850,cyser
875,vegan
273,bourbon
"1,033",tangerine
705,german ale yeast
930,montmorency
291,whiskey barrel
"1,089",cervenak
"1,031",unfiltered ipa
453,bamberg smoked malt
926,allspice
509,rye ipa
837,quintupel
385,caramel
352,blend
15,fruited gose
315,spalt select
872,kvass
563,festival
452,cacao
726,bergamot
664,harvest ale
833,crystal hop
870,rye saison
311,tettnang
858,double ipl
"1,072",fastenbock
"1,088",svetly
561,kijoshu
952,smoked lager
815,hoppy blonde
997,satanic
170,smoked malt
473,brune
622,semi-sweet cider
831,sweet potato
585,artisan
"1,004",imperial mild
240,fuggles
601,baris
583,celebrity
"1,025",progress
958,pink
749,oyster stout
"1,022",sassafras
652,juicy
670,earl grey
729,white ipa
223,oaked cider
923,session mead
481,cold brew
788,winter warmer
322,bottle conditioned
278,coconut
787,tropical
228,summit
314,spalt
856,dunkelweizenbock
914,super saison
"1,041",double black ipa
430,jopenbier
517,experimental
541,imperial pilsner
518,agave
"1,098",blanche
642,white grapes
981,lagerbier
492,beans
49,ginger
617,licorice
907,riwaka
608,rum
725,rooibos
630,dragonfruit
582,grains of paradise
"1,030",west coast ipa
778,weihnachtsbock
736,flowers
827,true traditional
963,masumoto
748,oysters
760,kazbek
418,adambier
46,chamomile
655,wood chips
812,huell melon
692,one beer only
368,award
807,heather
108,american wheat
213,geneva
"1,080",delta
762,potato
613,kopi luwak
764,vienna lager
"1,020",stock ale
487,chocolate milk
616,speedway stout
50,collaboration
949,hickory
195,cryoconcentration
391,donut
769,oloroso
1,nelson sauvin
747,pilgrim
848,imperial red
773,imperial brown
742,herbs
818,zythos
299,chocolate
656,dank
373,golden sour
945,wheat stout
507,ice beer
199,cloves
846,mt hood
704,wet hop
117,tea
781,galena
654,imperial pale ale
911,puncheon
380,rice
434,fruited weisse
470,wattle seed
"1,076",fruit ipa
853,lobo
634,lambic - kriek
694,hochzeit
813,golden ale
219,trent
196,christmas
498,pappy van winkle
811,brett saison
"1,035",lychee
169,elderflowers
242,coffee
"1,045",dark wheat ipa
"1,085",kriekenlambik
369,world beer cup 2016
714,premiant
226,ice perry
543,red wine barrel
270,simcoe
614,whiskey
549,aurora
998,cabernet sauvignon
939,american barley wine
826,rye lager
886,opal
890,sazerac
519,india pale lager
573,imperial california common
"1,070",palisade
396,oatmeal stout
477,dsjt2014
461,wine barrel
987,echter zoigl
535,rousse
588,lime
859,hoppy lager
229,cryoextraction
700,sticke
39,hallertau
600,russian imperial stout
720,london porter
950,smoked saison
771,currant
821,gotlandsdricka
547,junga
381,red ipa
346,galaxy
635,passion fruit
718,non vegan
97,amarillo
174,rosemary
782,english ipa
866,kellerbier
237,gabf2014
