atmosphere,fbcount,fbscore,food,id,overall,reviewcount,selection,service
4.5,,,0,18433,84.99995,1,4,4.25
4.5,,,0,15703,90,1,4.5,4.5
4,,,4,11959,80,1,4,4
3.5,,,0,17057,61.66655,1,2.5,3.25
3.25,,,0,11325,73.3334,1,4,3.75
4,,,0,18432,81.66665,1,4,4.25
4,,,0,17055,78.33335,1,4,3.75
4,,,0,11227,86.6668,1,5,4
4,,,4,6379,80.0001,1,4.5,3.5
4.25,,,0,11382,83.33335,1,4.25,4
4,,,4,10634,81.66665,1,4,4.25
4,,,4,12671,80,1,4,4
3,,,0,17054,60,1,3,3
4,,,0,5279,86.66675,1,4.75,4.25
4.25,,,0,13,95.00005,1,5,5
5,,,0,851,100,1,5,5
5,,,5,876,93.3333,1,4.5,4.5
4.75,,,4.75,9203,86.66665,2,4.25,4
5,,,4.75,10350,99.166675,2,5,4.875
3.75,,,2.75,17985,66.66635,1,1.75,4.5
2.375,,,2.5,9516,53.33325,2,2.25,3.375
4.25,,,4.25,82,88.3334,1,4.75,4.25
4.625,,,4.25,7194,92.9167125,4,4.875,4.4375
4.125,,,3.875,101,83.61111667,6,4.208333333,4.208333333
1.75,,,0,12294,55.0001,1,3.25,3.25
4.125,,,4.125,147,89.16675,2,4.875,4.375
2.5,,,2.5,11501,56.6668,1,3.5,2.5
4.25,,,4.25,443,83.33329,5,3.95,4.3
4.25,,,4,13751,90.0001,1,5,4.25
4.388888889,,,4.1875,462,86.48151111,9,4.472222222,4.111111111
4.25,,,4,3348,88.33335,1,4.5,4.5
4.5,,,4.5,486,90,1,4.5,4.5
4.5,,,4,517,81.66665,1,4,3.75
4,,,4.375,8384,74.99995,2,3.5,3.75
3.5,,,3.5625,12513,73.00005,5,3.9,3.55
4,,,4.25,11734,86.6666,1,4,5
2,,,2.25,16774,40,1,2,2
4.25,,,0,15089,85.8333,2,4.125,4.5
4.25,,,4.5,892,90,1,4.5,4.75
4.071428571,,,3.583333333,910,80.47622857,7,4.214285714,3.785714286
2.75,,,3.375,923,65.0000875,4,3.6875,3.3125
4.375,,,3.75,924,87.499975,2,4.25,4.5
4.5,,,0,12302,93.3334,1,5,4.5
4.583333333,,,3.65,984,92.2223,6,5,4.25
4,,,0,14332,85,1,4.25,4.5
4.5,,,4.416666667,1024,88.7499875,4,4.375,4.4375
3.75,,,0,1065,80,1,4,4.25
4.25,,,3.5,1100,86.6667,1,4.5,4.25
4.208333333,,,4.15,6204,79.16663333,6,3.791666667,3.875
4.5,,,3.875,11383,92.2222,3,4.5,4.833333333
4,,,0,3815,86.6667,1,4.5,4.5
4.5,,,4.25,13031,90,1,4.5,4.5
5,,,0,15657,100,1,5,5
4,,,3.5,16989,70.00015,1,4.25,2.25
4.375,,,3.75,1325,85.000075,2,4.625,3.75
5,,,0,3816,100,1,5,5
4,,,0,3814,93.3334,1,5,5
4.5,,,4.5,6235,90.00005,1,4.75,4.25
2.75,,,2.625,6234,50,2,2.5,2.25
4.25,,,0,359,82.499925,2,3.75,4.375
4.375,,,3.25,6345,90.00005,2,4.75,4.375
4,,,3.75,606,75.83335,2,3.875,3.5
2.75,,,0,13830,63.3333,1,3,3.75
4,,,0,17840,78.3333,1,3.75,4
2.375,,,3.5,1384,57.500175,2,3.75,2.5
4,,,4.3125,1,80.500035,10,4.2,3.875
4.75,,,4.5,12444,96.6667,1,5,4.75
4,,,4.5,10285,81.6666,1,3.75,4.5
5,,,5,7617,97.500025,2,5,4.625
4,,,2,18676,80.0002,1,5,3
4,,,0,17853,86.6666,1,4,5
3.125,,,0,13567,78.33345,2,4.5,4.125
4.45,,,0,17,93.66671,5,4.9,4.7
5,,,4.25,19746,90,1,4.5,4
4.583333333,,,0,19,94.44443333,3,4.666666667,4.916666667
4.25,,,0,29,81.6666,1,3.75,4.25
4.25,,,0,14481,86.6667,1,4.5,4.25
4.8,,,0,31,96.00003,5,4.95,4.65
4,,,1,32,85.55563333,3,4.666666667,4.166666667
2.5,,,0,15781,54.9999,1,2.25,3.5
4.75,,,4.75,11709,95,1,4.75,4.75
2.666666667,,,0,37,50.55538333,3,1.666666667,3.25
3.5,,,0,2515,80.00005,1,4.25,4.25
4.535714286,,,4.5,5294,90.23808571,7,4.464285714,4.535714286
4.25,,,4.5,9902,90,1,4.5,4.75
3.25,,,3.75,5364,66.66675,1,3.75,3
4,,,0,15398,88.33345,1,5,4.25
3,,,3.75,66,43.3333,1,2,1.5
4.75,,,4.5,8481,93.33335,1,4.75,4.5
3.75,,,3,70,71.11113333,3,3.666666667,3.25
3,,,3.75,19495,80.0001,1,4.5,4.5
4.5,,,0,74,96.6667,1,5,5
4.75,,,0,75,95.83335,2,4.875,4.75
5,,,5,11675,94.9999,1,4.25,5
4,,,0,17500,80,1,4,4
5,,,2,1945,100,1,5,5
2,,,0,18500,39.9999,1,1.5,2.5
4,,,4.25,19602,85,1,4.25,4.5
