"","id","brewery_id","beer_style_id","brewery_type_id","post_code","loc_id","name","description","abv","calories","ibu","num_ratings","overall_rating","beer_style_rating","mean_rating","beer_style_name","beer_style_norm","brewery_name","brewery_type","city","state","zip_code","country","lat","long"
"1","1","4,110",36,4,"38,521","11640","De Garde Nelson Hose","A gose style ale dry hopped with Nelson Sauvin, aged in oak barrels with citrus peel & coriander.",4,120,NA,50,99,100,NA,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389
"2","2","5,426",36,5,"13,345","27821","Funky Buddha Founders Series  1: Veruca Snozzberry Gose","You may have noticed by now we have a not-so-subtle obsession with a certain classic children's book-inspired-movie. It's a great film that's inspired us in many ways, including with this beer.    

We're quite fond of the Gose style, a traditional German sour beer that blends the subtle tartness of a Berliner weisse with the addition of kettle salts and coriander. We took it a step further and infused it with snozzberries... well, what we think they might taste like, anyway. 
 
We do hope you enjoy this Founders' Club exclusive release, and recommend that you share this good egg with friends.",5.2,156,NA,33,100,100,4.15,"Grodziskie/Gose/Lichtenhainer","Sour","Funky Buddha Brewery","Brew Pub/Brewery","Fort Lauderdale","FL","33334","USA",26.182161,-80.13341
"3","3","12,491",36,1,"2,278","7362","Stillwater Gose Gone Wild","""It's no secret that we like to party, and sometimes it gets wild. So we took Westbrook's refreshing Gose and cranked up the volume a bit, adding a massive dose of Citra & Amarillo hops, then fermented it various strains of Brettanomyces...Go Westbrook, it's your birthday, get funky!!"" -Brian (Stillwater Artisanal)",4.3,129,NA,272,99,100,NA,"Grodziskie/Gose/Lichtenhainer","Sour","Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","USA",39.284607,-76.55696
"4","5","13,032",73,5,"3,100","19227","The Livery Bourbon Barrel Aged Wheat Trippelbock","A strong dark lager brewed with a generous amount of wheat then aged in Heaven Hill (2005-2012; 2015) or Jim Beam (2014) Bourbon Barrels. Each batch is slightly different.
 
- Aug 2005 and Dec 2005: 12 months in the cask, approx. 16% ABV  
- Aug 2006 and Dec 2006: 8 or 11 months in the cask and 13% ABV  
- Aug 2007 and Dec 2007: 8 or 11 months in the cask and 11% ABV  
- Aug 2008: 14 months in the cask and 13% ABV  
- Aug 2011: 24 months in the cask and 12% ABV  
- Aug 2012: Grand Reserve blended casks aged 24 months and 12.5% ABV  
- Aug 2014: 12 months in the cask and 11.5% ABV  
- Aug 2015: Aged in Heaven Hill barrels; no ABV listed. 
 
Note: Earlier vintages may use the word ""Cask"" in place of ""Barrel"" on the label.",11.5,345,NA,180,100,100,NA,"Weizen Bock","Wheat Beer","The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","USA",42.10809,-86.41801
"5","6","13,418",32,4,"4,092","17848","Trillium Pier","Brewed with 30% wheat, this hoppy, golden American ale features Galaxy and Citra in the dry hop. Bright aromatics of overripe peach, orange rind, and green, herbal hops flood the nose while balanced flavors of tropical fruit, citrus, and creamy wheat excite the palate. Refreshingly light bodied with a soft, fluffy mouthfeel, Pier finishes dry with a slightly mineral bitterness. 
 
ABV: 6.4%
 
MALT: Pilsner, White Wheat, Flaked Wheat, Dextrine
 
HOPS: Galaxy, Citra, Columbus",6.4,192,NA,71,99,100,NA,"Wheat Ale","Wheat Beer","Trillium Brewing Company","Microbrewery","Boston","MA","02210","USA",42.347974,-71.04463
"6","7","4,110",36,4,"38,521","11640","De Garde Hose","A Gose style ale dry-hopped with Amarillo and Citra, aged in oak barrels with corriander & citrus peel.",4,120,NA,91,99,100,NA,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389
"7","8","13,032",73,5,"3,100","19227","The Livery Wheat Trippelbock","Our Wheat Trippelbock is now on tap. Seven different malts and two different hop varieties join together in a beer that must be experienced to be described.


New batch for 2010 is 11.5% ABV, earlier batches ranged from 11 to 13% ABV",11.5,345,NA,55,99,100,NA,"Weizen Bock","Wheat Beer","The Livery","Brew Pub/Brewery","Benton Harbor","MI","49022","USA",42.10809,-86.41801
"8","9","4,110",36,4,"38,521","11640","De Garde Apricot Gose","A Gose inspired ale, aged in oak barrels, then refermented on Oregon Apricots.",5.2,156,NA,50,99,100,NA,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389
"9","10","4,110",36,4,"38,521","11640","De Garde Citra Hose","A Gose style ale, aged in oak barrels and dry hopped with Citra.",4,120,NA,40,99,99,NA,"Grodziskie/Gose/Lichtenhainer","Sour","De Garde Brewing","Microbrewery","Tillamook","OR","97141","USA",45.459109,-123.80389
"10","11","9,329",73,4,"26,685","20574","New Glarus Dancing Man Wheat","If you dream of wheat this brew will get your toes tapping. Since 1995 we have brewed Bavarian style wheat beers exclusively for the same great state that grows and malts our own Wisconsin wheat. In a world full of posers this is a true hefe-weizen naturally 100% bottle fermented and hazy. 

Expect this beer to cascade effervescent into your glass. The rich spicy clove and cinnamon notes will greet your nose while sweet fruit and wheat kisses your lips.  

Lick the foam from your mouth and admit sometimes you just gotta get up and dance.",7.2,216,NA,567,99,100,NA,"Weizen Bock","Wheat Beer","New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","USA",42.81636,-89.64075
"11","26","13,171",32,4,"26,021","15101","Three Floyds Gumballhead","An American Wheat Beer brewed with red wheat and boat loads of amarillo hops gives this summer brew a lemony finish.  The slight haze in the bottle is from the bottle-conditioning, where yeast is added to the bottle for a secondary fermentation.  Gumballhead is a Skingraft Comics hero.  Check out Skingraft Comics and Records at www.skingraftrecords.com.  Cheers!",5.5,165,28,1691,98,100,NA,"Wheat Ale","Wheat Beer","Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","USA",41.551457,-87.50143
