DATE,RIWN31212S
1972-01-01,0.5062
1972-02-01,0.5038
1972-03-01,0.5068
1972-04-01,0.5102
1972-05-01,0.4954
1972-06-01,0.4852
1972-07-01,0.4870
1972-08-01,0.4643
1972-09-01,0.4585
1972-10-01,0.4668
1972-11-01,0.4460
1972-12-01,0.4301
1973-01-01,0.4298
1973-02-01,0.4430
1973-03-01,0.4426
1973-04-01,0.4261
1973-05-01,0.4240
1973-06-01,0.3767
1973-07-01,0.4046
1973-08-01,0.4117
1973-09-01,0.4149
1973-10-01,0.4023
1973-11-01,0.4026
1973-12-01,0.3945
1974-01-01,0.3973
1974-02-01,0.3829
1974-03-01,0.3846
1974-04-01,0.3480
1974-05-01,0.3704
1974-06-01,0.3731
1974-07-01,0.3666
1974-08-01,0.3623
1974-09-01,0.3618
1974-10-01,0.3441
1974-11-01,0.3644
1974-12-01,0.3750
1975-01-01,0.3837
1975-02-01,0.3741
1975-03-01,0.3569
1975-04-01,0.3747
1975-05-01,0.3632
1975-06-01,0.3828
1975-07-01,0.3701
1975-08-01,0.3729
1975-09-01,0.3618
1975-10-01,0.3516
1975-11-01,0.3968
1975-12-01,0.3734
1976-01-01,0.3666
1976-02-01,0.3687
1976-03-01,0.2967
1976-04-01,0.3362
1976-05-01,0.3846
1976-06-01,0.3638
1976-07-01,0.3849
1976-08-01,0.3974
1976-09-01,0.3905
1976-10-01,0.3989
1976-11-01,0.3643
1976-12-01,0.3379
1977-01-01,0.3680
1977-02-01,0.3487
1977-03-01,0.3889
1977-04-01,0.3838
1977-05-01,0.3952
1977-06-01,0.3715
1977-07-01,0.3647
1977-08-01,0.3438
1977-09-01,0.3427
1977-10-01,0.3537
1977-11-01,0.3737
1977-12-01,0.3617
1978-01-01,0.3824
1978-02-01,0.3799
1978-03-01,0.3732
1978-04-01,0.3769
1978-05-01,0.3647
1978-06-01,0.3650
1978-07-01,0.3755
1978-08-01,0.3811
1978-09-01,0.3743
1978-10-01,0.3705
1978-11-01,0.3629
1978-12-01,0.3698
1979-01-01,0.3501
1979-02-01,0.3539
1979-03-01,0.3569
1979-04-01,0.3507
1979-05-01,0.3322
1979-06-01,0.3349
1979-07-01,0.3376
1979-08-01,0.3298
1979-09-01,0.3554
1979-10-01,0.3505
1979-11-01,0.3516
1979-12-01,0.3585
1980-01-01,0.3491
1980-02-01,0.3556
1980-03-01,0.3593
1980-04-01,0.3399
1980-05-01,0.3709
1980-06-01,0.3892
1980-07-01,0.3816
1980-08-01,0.3940
1980-09-01,0.3771
1980-10-01,0.3587
1980-11-01,0.3751
1980-12-01,0.3360
1981-01-01,0.3084
1981-02-01,0.3464
1981-03-01,0.3372
1981-04-01,0.3355
1981-05-01,0.3568
1981-06-01,0.3378
1981-07-01,0.3344
1981-08-01,0.3451
1981-09-01,0.3393
1981-10-01,0.3306
1981-11-01,0.3613
1981-12-01,0.3749
1982-01-01,0.3975
1982-02-01,0.3852
1982-03-01,0.3822
1982-04-01,0.3857
1982-05-01,0.4132
1982-06-01,0.3883
1982-07-01,0.3783
1982-08-01,0.4147
1982-09-01,0.4225
1982-10-01,0.4447
1982-11-01,0.4488
1982-12-01,0.4481
1983-01-01,0.4603
1983-02-01,0.4598
1983-03-01,0.4418
1983-04-01,0.4854
1983-05-01,0.4590
1983-06-01,0.4593
1983-07-01,0.4814
1983-08-01,0.4545
1983-09-01,0.4491
1983-10-01,0.4613
1983-11-01,0.4419
1983-12-01,0.4108
1984-01-01,0.4065
1984-02-01,0.4085
1984-03-01,0.4341
1984-04-01,0.4116
1984-05-01,0.4115
1984-06-01,0.4176
1984-07-01,0.4446
1984-08-01,0.4083
1984-09-01,0.4244
1984-10-01,0.4119
1984-11-01,0.4107
1984-12-01,0.4338
1985-01-01,0.4306
1985-02-01,0.4252
1985-03-01,0.4377
1985-04-01,0.4399
