"beer_id","date","rating","text","user_location","user_name"
3712,"2017-04-17",2.9,"On tap at McFate, pours a clear copper golden with a small white head. Aroma brings out restrained toasted biscuity malt and a hint of dry caramel. Flavour is along the same lines, with bready malts and again a touch of dry caramel. Very malty and medium sweet on the finish. Decent.","Vancouver, British Columbia, CANADA","mcberko"
3712,"2016-09-27",3.4,"Hazy deep amber red pour with small off white head. Aroma of malts, caramel, bready and slight hops. Taste of malts, bread dough, yeast, caramel and faint hops. Light bodied, medium carbonation, nicely balanced.","Calgary, CANADA","maley1"
3712,"2015-04-16",4.2,"Draft. Tawny copper, slightly hazy. Burnt orange at the edges. Thin, wispy head of sandy tan. A swirl sends sweet stuff to the nose first: caramel, sweet cherry, apple. Milk chocolate and toasted bread make up the back end. Roasty, nutty flavor. Walnuts, baked apples, subtle chocolate, maybe light roast coffee beans. Tangy caramelized sugars. Roasted cocoa lingers. Medium body, mild carbonation. The best Irish red Ive had -- it combines qualities of red and brown ales.","","PartyFowle"
3712,"2015-03-14",3.0,"On draft at the source. Killians coming at ya hot. Amber reddish pour with off white head. Caramel, grain, and light apple with a dry grainy element. Average for what it is.","Connecticut, USA","Reynolds314"
3712,"2015-02-28",3.0,"Draft at the brewery. Pours hazy copper with a fizzy off white head. Tastes like toasted malt, nutty, smooth, and light citrus hops. Light/medium body and low carbonation. Faint aroma of toasted malt, and light citrus hops.","baltimore, Maryland, USA","snoworsummer"
3712,"2015-02-18",3.4,"UPDATED: MAR 10, 2015 great easy drinker. Very plain as it should be with some nuances of caramel and grains. Toasty and biscuity with some grassy hop. True to the style.","Arizona, USA","Ernesto987"
3712,"2014-10-15",3.2,"Tap at the brewpub. The look is reddish in color, a beige colored head, and a slight haze. The smell is toast, burnt, malt, ash, and ok. The taste is fruit, caramel, toast, and grain.","Dallas, Texas, USA","travita"
3712,"2014-08-18",3.3,"On tap: The aroma consists of light fruit, caramel, and toasted nuts. Its a transparent dark amber with a small off-white head that quickly fades to a thin film outlined by a slightly thicker ring. There is some hints webbing left on the sides of the glass. The flavor starts with light-moderate caramel and light fruit. The finish has light toasty notes with faint roasted nuts. Its light bodied with light-moderate carbonation. Overall, a pretty standard Amber Ale.","Rochester Hills, Michigan, USA","Pailhead"
3712,"2014-06-11",3.5,"Pint at the brewery. Mild roasted malt and slight baked apples highlight the moderate aroma with some caramel. Pours a nice semi-hazy deep auburn with a cream-colored head. A sweet nutty tone is the prominent flavor early with a moderate chewy toffee note, mild whole-grain toast, and a medium earthy hoppiness. Medium body, spiced long finish. Solid brew.","Arizona, USA","DesertDevil"
3712,"2014-04-16",3.0,"[ Keg ][ Fate ][ 4oz ][ $1.75 ][ Mini Flute ][ 4/12/14 ]
>> Clear amber red pour, weak foam. Nose is cola, mild vegetal, dark cherries. Taste is sweet, dark cherry. Suddy, peroxide palate. Pretty meh as expected.","San Diego, California, USA","GT"
3712,"2014-02-22",3.4,"Draft - Toasted malts and caramel. Clear amber with a beige head. Just like it smells with a sweetness in the finish.","Burnaby, British Columbia, CANADA","Ferris"
