blogmap,city,country,id,imagecount,name,overall,phone,proxylink,reviewlink,state,status,street,zip
http://beermapping.com/maps/blogproxy.php?locid=15896andamp;d=1andamp;type=norm,Huntsville,United States,15896,0,1892 East Tavern,0,(256) 489-1242,http://beermapping.com/maps/proxymaps.php?locid=15896andamp;d=5,https://beermapping.com/location/15896,AL,Beer Bar,720 Pratt Avenue,35801
http://beermapping.com/maps/blogproxy.php?locid=8397andamp;d=1andamp;type=norm,Pelham,United States,8397,0,AlaBrew,0,(205) 358-3111,http://beermapping.com/maps/proxymaps.php?locid=8397andamp;d=5,https://beermapping.com/location/8397,AL,Homebrew,212 Oak Mountain Circle,35124
http://beermapping.com/maps/blogproxy.php?locid=12810andamp;d=1andamp;type=norm,Tuscaloosa,United States,12810,0,Alcove International Tavern,0,(205) 469-9110,http://beermapping.com/maps/proxymaps.php?locid=12810andamp;d=5,https://beermapping.com/location/12810,AL,Beer Bar,730 22nd Ave,35401
http://beermapping.com/maps/blogproxy.php?locid=15706andamp;d=1andamp;type=norm,Birmingham,United States,15706,0,Avondale Brewing Company,0,(205) 777-5456,http://beermapping.com/maps/proxymaps.php?locid=15706andamp;d=5,https://beermapping.com/location/15706,AL,Brewery,201 41st Street South,35222
http://beermapping.com/maps/blogproxy.php?locid=15004andamp;d=1andamp;type=norm,Gadsden,United States,15004,0,Back Forty Beer Co,0,(256) 467-4912,http://beermapping.com/maps/proxymaps.php?locid=15004andamp;d=5,https://beermapping.com/location/15004,AL,Brewery,200 N 6th Street,35901
http://beermapping.com/maps/blogproxy.php?locid=20646andamp;d=1andamp;type=norm,Tuscaloosa,United States,20646,0,Band of Brothers Brewing Co,0,(205) 266-5137,http://beermapping.com/maps/proxymaps.php?locid=20646andamp;d=5,https://beermapping.com/location/20646,AL,Brewery,1605 23rd Ave,35401
http://beermapping.com/maps/blogproxy.php?locid=17056andamp;d=1andamp;type=norm,Huntsville,United States,17056,0,Below the Radar Brewhouse,0,(256) 469-6617,http://beermapping.com/maps/proxymaps.php?locid=17056andamp;d=5,https://beermapping.com/location/17056,AL,Brewpub,220 Holmes Ave NE,35801
http://beermapping.com/maps/blogproxy.php?locid=20843andamp;d=1andamp;type=norm,Gulf Shores,United States,20843,0,Big Beach Brewing Company,0,251-948-2337,http://beermapping.com/maps/proxymaps.php?locid=20843andamp;d=5,https://beermapping.com/location/20843,AL,Brewery,300 E. 24th Ave,36542
http://beermapping.com/maps/blogproxy.php?locid=18433andamp;d=1andamp;type=norm,Tuscaloosa,United States,18433,0,Black Warrior Brewing,84.99995,,http://beermapping.com/maps/proxymaps.php?locid=18433andamp;d=5,https://beermapping.com/location/18433,AL,Brewery,2216 University Blvd.,35401
http://beermapping.com/maps/blogproxy.php?locid=15703andamp;d=1andamp;type=norm,Madison,United States,15703,0,Blue Pants Brewery,90,,http://beermapping.com/maps/proxymaps.php?locid=15703andamp;d=5,https://beermapping.com/location/15703,AL,Brewery,500 Lanier Rd,35758
