"caption","credit","crediturl","directurl","height","id","imagedate","imageid","imageurl","score","thumburl","width"
"","","","","","15896","","","","","",""
"","","","","","8397","","","","","",""
"","","","","","12810","","","","","",""
"","","","","","15706","","","","","",""
"","","","","","15004","","","","","",""
"","","","","","20646","","","","","",""
"","","","","","17056","","","","","",""
"","","","","","20843","","","","","",""
"","","","","","18433","","","","","",""
"","","","","","15703","","","","","",""
"","","","","","19008","","","","","",""
"","","","","","10645","","","","","",""
"","","","","","18710","","","","","",""
"","Evil_Keith","https://beermapping.com/account/120","https://beermapping.com/maps/reviews/images.php?img=4217","480","11959","2010-08-22 16:20:29","4217","https://s3.amazonaws.com/beermapping/locations/BW31.jpg","0","https://s3.amazonaws.com/beermapping/locations/BW31.jpg","640"
"","","","","","16388","","","","","",""
"","","","","","6602","","","","","",""
"","","","","","19796","","","","","",""
"Signage","bobcat78","https://beermapping.com/account/1178","https://beermapping.com/maps/reviews/images.php?img=6116","159","17057","2015-03-01 14:49:26","6116","https://s3.amazonaws.com/beermapping/locations/Chattahoocie.jpg","0","https://s3.amazonaws.com/beermapping/locations/Chattahoocie.jpg","213"
"","","","","","20644","","","","","",""
"","Evil_Keith","https://beermapping.com/account/120","https://beermapping.com/maps/reviews/images.php?img=4218","480","11325","2010-08-22 16:22:05","4218","https://s3.amazonaws.com/beermapping/locations/Cottage_1.jpg","0","https://s3.amazonaws.com/beermapping/locations/Cottage_1.jpg","640"
"","","","","","18432","","","","","",""
"","","","","","17055","","","","","",""
"","","","","","14835","","","","","",""
"","","","","","11757","","","","","",""
"","","","","","11227","","","","","",""
"","","","","","19036","","","","","",""
"","","","","","17736","","","","","",""
"J Clyde entry","BahHumBrew","https://beermapping.com/account/148","https://beermapping.com/maps/reviews/images.php?img=1185","610","6379","2008-04-04 00:01:02","1185","https://s3.amazonaws.com/beermapping/locations/JCldeE.jpg","0","https://s3.amazonaws.com/beermapping/locations/JCldeE.jpg","800"
"","Evil_Keith","https://beermapping.com/account/120","https://beermapping.com/maps/reviews/images.php?img=4169","480","11382","2010-08-08 14:46:56","4169","https://s3.amazonaws.com/beermapping/locations/Kathys_1.jpg","0","https://s3.amazonaws.com/beermapping/locations/Kathys_1.jpg","640"
"","","","","","12281","","","","","",""
"","","","","","12997","","","","","",""
"","","","","","15115","","","","","",""
"","","","","","13408","","","","","",""
"","","","","","11536","","","","","",""
"","Evil_Keith","https://beermapping.com/account/120","https://beermapping.com/maps/reviews/images.php?img=4127","960","10634","2010-08-01 15:39:00","4127","https://s3.amazonaws.com/beermapping/locations/MM_1.jpg","0","https://s3.amazonaws.com/beermapping/locations/MM_1.jpg","1280"
"","Evil_Keith","https://beermapping.com/account/120","https://beermapping.com/maps/reviews/images.php?img=4219","480","12671","2010-08-22 16:24:16","4219","https://s3.amazonaws.com/beermapping/locations/MM2_1.jpg","0","https://s3.amazonaws.com/beermapping/locations/MM2_1.jpg","640"
"","","","","","15638","","","","","",""
"","","","","","9838","","","","","",""
"","","","","","17876","","","","","",""
"","","","","","17054","","","","","",""
"","","","","","8399","","","","","",""
"","","","","","14252","","","","","",""
"","","","","","14253","","","","","",""
"","","","","","20643","","","","","",""
"","","","","","12917","","","","","",""
"","","","","","19045","","","","","",""
"","","","","","20642","","","","","",""
"","","","","","20040","","","","","",""
"","","","","","18817","","","","","",""
"","","","","","15571","","","","","",""
"","","","","","11535","","","","","",""
"","","","","","12722","","","","","",""
"","","","","","19034","","","","","",""
"","","","","","5279","","","","","",""
"","","","","","17392","","","","","",""
"","","","","","11540","","","","","",""
"","","","","","18816","","","","","",""
"","","","","","16965","","","","","",""
"","","","","","15705","","","","","",""
"","","","","","16387","","","","","",""
"","","","","","13","","","","","",""
"","","","","","15563","","","","","",""
"","","","","","4123","","","","","",""
"","","","","","14929","","","","","",""
"","","","","","14537","","","","","",""
"","","","","","20666","","","","","",""
"","","","","","20647","","","","","",""
"","","","","","6931","","","","","",""
"","","","","","9293","","","","","",""
"","","","","","12981","","","","","",""
"","","","","","490","","","","","",""
"","","","","","4124","","","","","",""
"","","","","","20648","","","","","",""
"","","","","","561","","","","","",""
"","","","","","608","","","","","",""
"","","","","","18166","","","","","",""
"","","","","","6930","","","","","",""
"","","","","","4119","","","","","",""
"","","","","","4120","","","","","",""
"","","","","","15562","","","","","",""
"","","","","","723","","","","","",""
"","","","","","8404","","","","","",""
"","","","","","15564","","","","","",""
"","","","","","851","","","","","",""
"","","","","","876","","","","","",""
"","","","","","20016","","","","","",""
"","","","","","19888","","","","","",""
"","","","","","4078","","","","","",""
"","","","","","17984","","","","","",""
"","","","","","1205","","","","","",""
"","","","","","9204","","","","","",""
"","","","","","1220","","","","","",""
"","","","","","9203","","","","","",""
"","","","","","20117","","","","","",""
"","","","","","10350","","","","","",""
"","","","","","20655","","","","","",""
"","","","","","20343","","","","","",""
"","","","","","19976","","","","","",""
"","","","","","10509","","","","","",""
"","","","","","10510","","","","","",""
"","","","","","16120","","","","","",""
"","Curmudgeon","https://beermapping.com/account/310","https://beermapping.com/maps/reviews/images.php?img=6193","388","17985","2016-08-24 21:03:03","6193","https://s3.amazonaws.com/beermapping/locations/AZ.jpg","0","https://s3.amazonaws.com/beermapping/locations/AZ.jpg","292"
"","","","","","9608","","","","","",""
"","","","","","9609","","","","","",""
"","","","","","9610","","","","","",""
"Arriba Scottsdale entry","BahHumBrew","https://beermapping.com/account/148","https://beermapping.com/maps/reviews/images.php?img=2275","600","9516","2008-10-19 11:43:30","2275","https://s3.amazonaws.com/beermapping/locations/ArrbaE.jpg","0","https://s3.amazonaws.com/beermapping/locations/ArrbaE.jpg","800"
"","","","","","20346","","","","","",""
"Barley Bros back deck from London Bridge","BahHumBrew","https://beermapping.com/account/148","https://beermapping.com/maps/reviews/images.php?img=3944","600","82","2010-02-23 14:35:55","3944","https://s3.amazonaws.com/beermapping/locations/BrlyBrosDeck.jpg","0","https://s3.amazonaws.com/beermapping/locations/BrlyBrosDeck.jpg","800"
"","","","","","20649","","","","","",""
"","Curmudgeon","https://beermapping.com/account/310","https://beermapping.com/maps/reviews/images.php?img=4617","480","7194","2011-05-19 18:41:49","4617","https://s3.amazonaws.com/beermapping/locations/photo.5.jpg","0","https://s3.amazonaws.com/beermapping/locations/photo.5.jpg","360"
"","","","","","19100","","","","","",""
"Sign","bobcat78","https://beermapping.com/account/1178","https://beermapping.com/maps/reviews/images.php?img=5297","196","101","2012-12-08 21:31:53","5297","https://s3.amazonaws.com/beermapping/locations/Beaver_Street.jpg","0","https://s3.amazonaws.com/beermapping/locations/Beaver_Street.jpg","350"
"","","","","","19294","","","","","",""
"","","","","","12294","","","","","",""
"","","","","","3817","","","","","",""
"","","","","","10763","","","","","",""
"","","","","","18604","","","","","",""
"","","","","","3753","","","","","",""
"BJ's Mesa entry","BahHumBrew","https://beermapping.com/account/148","https://beermapping.com/maps/reviews/images.php?img=2270","600","3754","2008-10-19 11:31:48","2270","https://s3.amazonaws.com/beermapping/locations/BJsMesaE.jpg","0","https://s3.amazonaws.com/beermapping/locations/BJsMesaE.jpg","800"
"","","","","","8822","","","","","",""
"","","","","","12651","","","","","",""
"","","","","","3755","","","","","",""
"BJ's Chandler entry","BahHumBrew","https://beermapping.com/account/148","https://beermapping.com/maps/reviews/images.php?img=2272","600","147","2008-10-19 11:34:03","2272","https://s3.amazonaws.com/beermapping/locations/BJsCnldrE.jpg","0","https://s3.amazonaws.com/beermapping/locations/BJsCnldrE.jpg","800"
"","","","","","20662","","","","","",""
"","","","","","19752","","","","","",""
"","","","","","20661","","","","","",""
"","","","","","20345","","","","","",""
"","","","","","19213","","","","","",""
"","","","","","16049","","","","","",""
"","","","","","16938","","","","","",""
"","","","","","9847","","","","","",""
"","","","","","18331","","","","","",""
"","","","","","11800","","","","","",""
"","","","","","3813","","","","","",""
"","Curmudgeon","https://beermapping.com/account/310","https://beermapping.com/maps/reviews/images.php?img=4651","480","11501","2011-06-08 17:23:56","4651","https://s3.amazonaws.com/beermapping/locations/photo_1_.1.jpg","0","https://s3.amazonaws.com/beermapping/locations/photo_1_.1.jpg","360"
"","","","","","20656","","","","","",""
"","","","","","17897","","","","","",""
"","","","","","16696","","","","","",""
"","","","","","14917","","","","","",""
"","","","","","18456","","","","","",""
"","","","","","13778","","","","","",""
"","","","","","20659","","","","","",""
"","","","","","10507","","","","","",""
