id,brewery_id,altmap,lat,lng,map,name,status
1,15896,,34.738449,-86.575702,,1892 East Tavern,Beer Bar
2,8397,,33.333988,-86.782765,,AlaBrew,Homebrew
3,12810,,33.207921,-87.564704,,Alcove International Tavern,Beer Bar
4,15706,,0,0,,,
5,15004,,0,0,,,
6,20646,,0,0,,,
7,17056,,0,0,,,
8,20843,,0,0,,,
9,18433,,0,0,,,
10,15703,,0,0,,,
11,19008,,0,0,,,
12,10645,,34.603931,-86.986329,,"Brick Deli, The",Beer Bar
13,18710,,34.206372,-86.863535,,Brown and Co Beverages,Beer Store
14,11959,,30.676352,-88.188177,,Buffalo Wild Wings - Mobile,Beer Bar
15,16388,,0,0,,,
16,6602,,30.682548,-88.053801,,Callaghan's Irish Social Club,Beer Bar
17,19796,,33.516882,-86.798924,,Carrigan's Public House,Beer Bar
18,17057,,0,0,,,
19,20644,,0,0,,,
20,11325,,30.640209,-88.190025,,Cottage Hill Package Store,Beer Store
21,18432,,0,0,,,
22,17055,,0,0,,,
23,14835,,32.352021,-86.291254,,Fairview Homebrew,Homebrew
24,11757,,32.358446,-86.298888,,Filet and Vine,Beer Store
25,11227,,0,0,,,
26,19036,,33.516672,-86.789327,,Hop City - Birmingham,Beer Store
27,17736,,32.608027,-85.480832,,"Hound, The",Beer Bar
28,6379,,33.49771,-86.795221,,"J. Clyde, The",Beer Bar
29,11382,,30.640867,-87.91259,,Kathy's Package Store,Beer Store
30,12281,,34.7562,-86.7246,,Knucklehead's Sports Pub,Beer Bar
31,12997,,34.740944,-86.596068,,Liquor Express,Beer Store
32,15115,,31.335111,-85.857097,,Mellow Mushroom - Enterprise,Beer Bar
33,13408,,30.377246,-87.68312,,Mellow Mushroom - Foley,Beer Bar
34,11536,,34.753906,-86.692619,,Mellow Mushroom - Huntsville,Beer Bar
35,10634,,30.689542,-88.171534,,Mellow Mushroom - Mobile,Beer Bar
36,12671,,30.676778,-88.089237,,Mellow Mushroom - Mobile 2,Beer Bar
37,15638,,33.515059,-86.736666,,Neighborhood Hops and Vine,Beer Store
38,9838,,34.711294,-86.600456,,"Nook, The",Beer Bar
39,17876,,30.515991,-87.852038,,Old 27 Grill,Beer Bar
40,17054,,0,0,,,
41,8399,,33.511392,-86.787088,,On Tap Sports Cafe,Beer Bar
42,14252,,33.378688,-86.805343,,On Tap Sports Cafe - Galleria,Beer Bar
43,14253,,33.405387,-86.811378,,On Tap Sports Cafe - Hoover,Beer Bar
