"atmosphere","fbcount","fbscore","food","id","overall","reviewcount","selection","service"
"0","","","0","15896","0","0","0","0"
"0","","","0","8397","0","0","0","0"
"0","","","0","12810","0","0","0","0"
"0","","","0","15706","0","0","0","0"
"0","","","0","15004","0","0","0","0"
"0","","","0","20646","0","0","0","0"
"0","","","0","17056","0","0","0","0"
"0","","","0","20843","0","0","0","0"
"4.5","","","0","18433","84.99995","1","4","4.25"
"4.5","","","0","15703","90","1","4.5","4.5"
"0","","","0","19008","0","0","0","0"
"0","","","0","10645","0","0","0","0"
"0","","","0","18710","0","0","0","0"
"4","","","4","11959","80","1","4","4"
"0","","","0","16388","0","0","0","0"
"0","","","0","6602","0","0","0","0"
"0","","","0","19796","0","0","0","0"
"3.5","","","0","17057","61.66655","1","2.5","3.25"
"0","","","0","20644","0","0","0","0"
"3.25","","","0","11325","73.3334","1","4","3.75"
"4","","","0","18432","81.66665","1","4","4.25"
"4","","","0","17055","78.33335","1","4","3.75"
"0","","","0","14835","0","0","0","0"
"0","","","0","11757","0","0","0","0"
"4","","","0","11227","86.6668","1","5","4"
"0","","","0","19036","0","0","0","0"
"0","","","0","17736","0","0","0","0"
"4","","","4","6379","80.0001","1","4.5","3.5"
"4.25","","","0","11382","83.33335","1","4.25","4"
"0","","","0","12281","0","0","0","0"
"0","","","0","12997","0","0","0","0"
"0","","","0","15115","0","0","0","0"
"0","","","0","13408","0","0","0","0"
"0","","","0","11536","0","0","0","0"
"4","","","4","10634","81.66665","1","4","4.25"
"4","","","4","12671","80","1","4","4"
"0","","","0","15638","0","0","0","0"
"0","","","0","9838","0","0","0","0"
"0","","","0","17876","0","0","0","0"
"3","","","0","17054","60","1","3","3"
"0","","","0","8399","0","0","0","0"
"0","","","0","14252","0","0","0","0"
"0","","","0","14253","0","0","0","0"
"0","","","0","20643","0","0","0","0"
"0","","","0","12917","0","0","0","0"
"0","","","0","19045","0","0","0","0"
"0","","","0","20642","0","0","0","0"
"0","","","0","20040","0","0","0","0"
"0","","","0","18817","0","0","0","0"
"0","","","0","15571","0","0","0","0"
"0","","","0","11535","0","0","0","0"
"0","","","0","12722","0","0","0","0"
"0","","","0","19034","0","0","0","0"
"4","","","0","5279","86.66675","1","4.75","4.25"
"0","","","0","17392","0","0","0","0"
"0","","","0","11540","0","0","0","0"
"0","","","0","18816","0","0","0","0"
"0","","","0","16965","0","0","0","0"
"0","","","0","15705","0","0","0","0"
"0","","","0","16387","0","0","0","0"
"4.25","","","0","13","95.00005","1","5","5"
"0","","","0","15563","0","0","0","0"
"0","","","0","4123","0","0","0","0"
"0","","","0","14929","0","0","0","0"
"0","","","0","14537","0","0","0","0"
"0","","","0","20666","0","0","0","0"
"0","","","0","20647","0","0","0","0"
"0","","","0","6931","0","0","0","0"
"0","","","0","9293","0","0","0","0"
"0","","","0","12981","0","0","0","0"
"0","","","0","490","0","0","0","0"
"0","","","0","4124","0","0","0","0"
"0","","","0","20648","0","0","0","0"
"0","","","0","561","0","0","0","0"
"0","","","0","608","0","0","0","0"
"0","","","0","18166","0","0","0","0"
"0","","","0","6930","0","0","0","0"
"0","","","0","4119","0","0","0","0"
"0","","","0","4120","0","0","0","0"
"0","","","0","15562","0","0","0","0"
"0","","","0","723","0","0","0","0"
"0","","","0","8404","0","0","0","0"
"0","","","0","15564","0","0","0","0"
"5","","","0","851","100","1","5","5"
"5","","","5","876","93.3333","1","4.5","4.5"
"0","","","0","20016","0","0","0","0"
"0","","","0","19888","0","0","0","0"
"0","","","0","4078","0","0","0","0"
"0","","","0","17984","0","0","0","0"
"0","","","0","1205","0","0","0","0"
"0","","","0","9204","0","0","0","0"
"0","","","0","1220","0","0","0","0"
"4.75","","","4.75","9203","86.66665","2","4.25","4"
"0","","","0","20117","0","0","0","0"
"5","","","4.75","10350","99.166675","2","5","4.875"
"0","","","0","20655","0","0","0","0"
"0","","","0","20343","0","0","0","0"
"0","","","0","19976","0","0","0","0"
"0","","","0","10509","0","0","0","0"
"0","","","0","10510","0","0","0","0"
"0","","","0","16120","0","0","0","0"
"3.75","","","2.75","17985","66.66635","1","1.75","4.5"
"0","","","0","9608","0","0","0","0"
"0","","","0","9609","0","0","0","0"
"0","","","0","9610","0","0","0","0"
"2.375","","","2.5","9516","53.33325","2","2.25","3.375"
"0","","","0","20346","0","0","0","0"
"4.25","","","4.25","82","88.3334","1","4.75","4.25"
"0","","","0","20649","0","0","0","0"
"4.625","","","4.25","7194","92.9167125","4","4.875","4.4375"
"0","","","0","19100","0","0","0","0"
"4.125","","","3.875","101","83.611116666666","6","4.2083333333333","4.2083333333333"
"0","","","0","19294","0","0","0","0"
"1.75","","","0","12294","55.0001","1","3.25","3.25"
"0","","","0","3817","0","0","0","0"
"0","","","0","10763","0","0","0","0"
"0","","","0","18604","0","0","0","0"
"0","","","0","3753","0","0","0","0"
"0","","","0","3754","0","0","0","0"
"0","","","0","8822","0","0","0","0"
"0","","","0","12651","0","0","0","0"
"0","","","0","3755","0","0","0","0"
"4.125","","","4.125","147","89.16675","2","4.875","4.375"
"0","","","0","20662","0","0","0","0"
"0","","","0","19752","0","0","0","0"
"0","","","0","20661","0","0","0","0"
"0","","","0","20345","0","0","0","0"
"0","","","0","19213","0","0","0","0"
"0","","","0","16049","0","0","0","0"
"0","","","0","16938","0","0","0","0"
"0","","","0","9847","0","0","0","0"
"0","","","0","18331","0","0","0","0"
"0","","","0","11800","0","0","0","0"
"0","","","0","3813","0","0","0","0"
"2.5","","","2.5","11501","56.6668","1","3.5","2.5"
"0","","","0","20656","0","0","0","0"
"0","","","0","17897","0","0","0","0"
"0","","","0","16696","0","0","0","0"
"0","","","0","14917","0","0","0","0"
"0","","","0","18456","0","0","0","0"
"0","","","0","13778","0","0","0","0"
"0","","","0","20659","0","0","0","0"
"0","","","0","10507","0","0","0","0"
"0","","","0","16773","0","0","0","0"
"0","","","0","13780","0","0","0","0"
"0","","","0","15330","0","0","0","0"
"0","","","0","13758","0","0","0","0"
"0","","","0","19215","0","0","0","0"
"0","","","0","13757","0","0","0","0"
"0","","","0","6714","0","0","0","0"
"4.25","","","4.25","443","83.33329","5","3.95","4.3"
"4.25","","","4","13751","90.0001","1","5","4.25"
"4.3888888888889","","","4.1875","462","86.481511111112","9","4.4722222222222","4.1111111111111"
"4.25","","","4","3348","88.33335","1","4.5","4.5"
"0","","","0","17129","0","0","0","0"
"0","","","0","13754","0","0","0","0"
"4.5","","","4.5","486","90","1","4.5","4.5"
"0","","","0","20013","0","0","0","0"
"0","","","0","6205","0","0","0","0"
"0","","","0","3818","0","0","0","0"
"0","","","0","6252","0","0","0","0"
"4.5","","","4","517","81.66665","1","4","3.75"
"4","","","4.375","8384","74.99995","2","3.5","3.75"
"0","","","0","15916","0","0","0","0"
"0","","","0","20653","0","0","0","0"
"0","","","0","12196","0","0","0","0"
"0","","","0","13882","0","0","0","0"
"0","","","0","10508","0","0","0","0"
"0","","","0","20658","0","0","0","0"
"0","","","0","18294","0","0","0","0"
"0","","","0","10764","0","0","0","0"
