DATE,IPN31212N
1972-01-01,40.8592
1972-02-01,43.6156
1972-03-01,48.8824
1972-04-01,54.0160
1972-05-01,51.4965
1972-06-01,57.5875
1972-07-01,54.5914
1972-08-01,50.8792
1972-09-01,47.2797
1972-10-01,45.5974
1972-11-01,40.2741
1972-12-01,39.7459
1973-01-01,42.7919
1973-02-01,47.4966
1973-03-01,52.2887
1973-04-01,54.5773
1973-05-01,54.0921
1973-06-01,54.6127
1973-07-01,56.4280
1973-08-01,56.0134
1973-09-01,53.4951
1973-10-01,49.4298
1973-11-01,45.5505
1973-12-01,45.7017
1974-01-01,49.4183
1974-02-01,50.8064
1974-03-01,56.6971
1974-04-01,55.8307
1974-05-01,60.3254
1974-06-01,68.5231
1974-07-01,64.4416
1974-08-01,60.8051
1974-09-01,55.8878
1974-10-01,49.5460
1974-11-01,45.6845
1974-12-01,46.0839
1975-01-01,49.5859
1975-02-01,49.8569
1975-03-01,51.4743
1975-04-01,58.5016
1975-05-01,56.4071
1975-06-01,65.7663
1975-07-01,61.5554
1975-08-01,59.9019
1975-09-01,53.2071
1975-10-01,48.3622
1975-11-01,48.5944
1975-12-01,46.8843
1976-01-01,49.1994
1976-02-01,52.6120
1976-03-01,46.3968
1976-04-01,56.0865
1976-05-01,63.8308
1976-06-01,65.2197
1976-07-01,67.3509
1976-08-01,67.1849
1976-09-01,59.9534
1976-10-01,57.6056
1976-11-01,47.5779
1976-12-01,45.4128
1977-01-01,51.8613
1977-02-01,53.2588
1977-03-01,66.3051
1977-04-01,70.0110
1977-05-01,72.0568
1977-06-01,72.8420
1977-07-01,70.3717
1977-08-01,63.9206
1977-09-01,57.9472
1977-10-01,56.5871
1977-11-01,53.1206
1977-12-01,52.2796
1978-01-01,57.4646
1978-02-01,62.1986
1978-03-01,68.5510
1978-04-01,75.2843
1978-05-01,72.0303
1978-06-01,76.5619
1978-07-01,77.5957
1978-08-01,76.6925
1978-09-01,68.6084
1978-10-01,64.8869
1978-11-01,57.2474
1978-12-01,58.9743
1979-01-01,59.3057
1979-02-01,65.8660
1979-03-01,73.2809
1979-04-01,75.1680
1979-05-01,71.5503
1979-06-01,74.8926
1979-07-01,73.9129
1979-08-01,69.8938
1979-09-01,67.9394
1979-10-01,63.4508
1979-11-01,56.7520
1979-12-01,57.1128
1980-01-01,60.5284
1980-02-01,66.9841
1980-03-01,72.7873
1980-04-01,71.1809
1980-05-01,75.7389
1980-06-01,80.4997
1980-07-01,77.2408
1980-08-01,79.2662
1980-09-01,70.1894
1980-10-01,64.7275
1980-11-01,62.4424
1980-12-01,55.2651
1981-01-01,56.4503
1981-02-01,68.9970
1981-03-01,72.7149
1981-04-01,77.0965
1981-05-01,84.3788
1981-06-01,81.9080
1981-07-01,79.6981
1981-08-01,80.3472
1981-09-01,70.1817
1981-10-01,64.2991
1981-11-01,61.9026
1981-12-01,60.8548
1982-01-01,71.0087
1982-02-01,75.3322
1982-03-01,78.4399
1982-04-01,83.0768
1982-05-01,90.0482
1982-06-01,84.8113
1982-07-01,79.0632
1982-08-01,82.3817
1982-09-01,73.6448
1982-10-01,72.4906
1982-11-01,64.2344
1982-12-01,60.0442
1983-01-01,70.7442
1983-02-01,74.3616
