DATE,PCU3121203121201
1975-12-01,69.4
1976-01-01,69.7
1976-02-01,70.0
1976-03-01,69.7
1976-04-01,70.0
1976-05-01,69.8
1976-06-01,69.8
1976-07-01,69.8
1976-08-01,69.8
1976-09-01,69.8
1976-10-01,69.8
1976-11-01,70.0
1976-12-01,69.9
1977-01-01,70.0
1977-02-01,70.4
1977-03-01,70.4
1977-04-01,70.5
1977-05-01,71.0
1977-06-01,71.4
1977-07-01,71.4
1977-08-01,71.5
1977-09-01,71.8
1977-10-01,71.9
1977-11-01,71.8
1977-12-01,72.5
1978-01-01,72.9
1978-02-01,72.9
1978-03-01,73.7
1978-04-01,73.1
1978-05-01,73.6
1978-06-01,74.0
1978-07-01,74.7
1978-08-01,75.4
1978-09-01,76.3
1978-10-01,77.7
1978-11-01,78.8
1978-12-01,78.9
1979-01-01,79.2
1979-02-01,79.4
1979-03-01,80.1
1979-04-01,81.1
1979-05-01,81.8
1979-06-01,82.8
1979-07-01,82.8
1979-08-01,83.2
1979-09-01,83.4
1979-10-01,84.8
1979-11-01,85.8
1979-12-01,86.3
1980-01-01,87.3
1980-02-01,87.7
1980-03-01,88.2
1980-04-01,89.0
1980-05-01,89.5
1980-06-01,89.9
1980-07-01,89.9
1980-08-01,90.3
1980-09-01,90.8
1980-10-01,91.0
1980-11-01,91.0
1980-12-01,91.0
1981-01-01,91.4
1981-02-01,.
1981-03-01,.
1981-04-01,94.2
1981-05-01,94.6
1981-06-01,95.1
1981-07-01,95.7
1981-08-01,96.3
1981-09-01,95.7
1981-10-01,96.1
1981-11-01,.
1981-12-01,.
1982-01-01,96.8
1982-02-01,96.9
1982-03-01,97.7
1982-04-01,99.1
1982-05-01,99.3
1982-06-01,100.0
1982-07-01,99.7
1982-08-01,100.3
1982-09-01,100.6
1982-10-01,100.0
1982-11-01,100.3
1982-12-01,100.3
1983-01-01,100.4
1983-02-01,102.6
1983-03-01,104.4
1983-04-01,105.1
1983-05-01,106.6
1983-06-01,106.1
1983-07-01,107.1
1983-08-01,107.2
1983-09-01,107.7
1983-10-01,106.7
1983-11-01,106.3
1983-12-01,106.4
1984-01-01,106.9
1984-02-01,109.0
1984-03-01,109.0
1984-04-01,109.3
1984-05-01,110.2
1984-06-01,109.4
1984-07-01,109.5
1984-08-01,109.5
1984-09-01,109.5
1984-10-01,109.8
1984-11-01,109.1
1984-12-01,109.2
1985-01-01,109.4
1985-02-01,110.4
1985-03-01,110.3
1985-04-01,110.3
1985-05-01,111.8
1985-06-01,111.3
1985-07-01,111.9
1985-08-01,111.7
1985-09-01,111.7
1985-10-01,112.2
1985-11-01,112.6
1985-12-01,112.5
1986-01-01,112.0
1986-02-01,113.0
1986-03-01,113.5
1986-04-01,113.2
1986-05-01,114.0
1986-06-01,113.6
1986-07-01,113.6
1986-08-01,114.2
1986-09-01,113.6
1986-10-01,114.5
1986-11-01,114.0
1986-12-01,113.8
1987-01-01,113.4
1987-02-01,114.5
1987-03-01,114.5
1987-04-01,114.6
1987-05-01,114.0
1987-06-01,114.4
1987-07-01,115.4
1987-08-01,115.3
1987-09-01,114.5
1987-10-01,115.5
1987-11-01,115.5
1987-12-01,114.5
1988-01-01,115.1
1988-02-01,116.0
1988-03-01,117.6
1988-04-01,116.3
1988-05-01,116.0
1988-06-01,116.1
1988-07-01,116.0
1988-08-01,116.7
1988-09-01,115.5
1988-10-01,116.5
1988-11-01,116.8
1988-12-01,115.4
1989-01-01,116.0
1989-02-01,117.9
1989-03-01,118.6
1989-04-01,118.9
1989-05-01,119.9
1989-06-01,120.4
1989-07-01,119.7
1989-08-01,120.2
1989-09-01,119.4
1989-10-01,119.5
1989-11-01,119.8
1989-12-01,119.2
1990-01-01,119.1
1990-02-01,121.5
1990-03-01,122.6
1990-04-01,122.0
1990-05-01,121.5
1990-06-01,121.1
1990-07-01,122.2
1990-08-01,120.2
1990-09-01,120.8
1990-10-01,120.4
1990-11-01,120.5
1990-12-01,119.5
1991-01-01,128.3
1991-02-01,127.6
1991-03-01,126.7
1991-04-01,128.0
1991-05-01,125.8
1991-06-01,125.5
1991-07-01,126.8
1991-08-01,126.6
1991-09-01,125.9
1991-10-01,125.1
1991-11-01,125.9
1991-12-01,125.8
1992-01-01,129.5
1992-02-01,130.2
1992-03-01,130.7
1992-04-01,130.1
1992-05-01,130.5
1992-06-01,129.4
1992-07-01,130.1
1992-08-01,129.9
1992-09-01,126.8
1992-10-01,126.2
1992-11-01,126.8
1992-12-01,127.0
1993-01-01,127.2
1993-02-01,128.1
1993-03-01,128.2
1993-04-01,128.1
1993-05-01,127.7
1993-06-01,125.8
