,_has_fetched,city,country,name,postal_code,state,street,telephone,type,url,web
0,True,Squamish,Canada,A-Frame Brewing,V8B 0K9,British Columbia,38927 Queens Way #1,(604)  892-0777,Microbrewery,/brewers/a-frame-brewing/29590/,https://www.facebook.com/aframebrewing/
1,True,Copenhagen,Denmark,A. Duus & Co.,,,,,Meadery,/brewers/a-duus-and-co/1668/,http://
2,True,Salt Lake City,USA,A. Fisher Brewing Co.,84101,Utah,320 West 800 South,,Microbrewery,/brewers/a-fisher/30427/,https://www.facebook.com/fisherbeer
3,True,Saint Augustine,USA,A1A Ale Works,,Florida,1 King St,(904) 829-2977,Brew Pub,/brewers/a1a-ale-works/195/,https://www.facebook.com/pages/A1A-ALEWORKS/172404069466739
4,True,Baesweiler,Germany,Aachener Spezial-Biere,52499,North Rhine-Westphalia,Thomas-Edison-Str. 8,(2401) 917420,Client Brewer,/brewers/aachener-spezial-biere/25820/,http://aachener-biere.de/
5,True,Aalen,Germany,Aalener Löwenbrauerei,73431,Baden-Württemberg,Galgenbergstraße 8-10,(7361) 32597,Brew Pub/Brewery,/brewers/aalener-lowenbrauerei/9111/,https://www.twitter.com/aalener
6,True,Sheffield,England,Aardvark,S1 4HP,South Yorkshire,"38 Cambridge Street,",(114) 273 8742,Brew Pub/Brewery,/brewers/aardvark/17767/,http://
7,True,Jacksonville,USA,Aardwolf,32207,Florida,1461 Hendricks Avenue,(904) 301-0755,Brew Pub/Brewery,/brewers/aardwolf/16721/,https://www.facebook.com/pages/Aardwolf-Brewery/219925481441627
8,True,Wurtsboro,USA,Aaron Burr Cidery,12790,New York,,(845) 468-5867,Cidery,/brewers/aaron-burr-cidery/15429/,https://www.facebook.com/pages/The-Cidery/123637988892
9,True,Luton,England,AB InBev UK,LU1 3LS,Bedfordshire,"Porter Tun House, 500 Capability Green",01582 391166,Client Brewer,/brewers/ab-inbev-uk/12418/,http://www.inbev.co.uk/
10,True,Penn Yann,USA,Abandon Brewing Company,14527,New York,2994 Merritt Hill Road,(585) 209-3276,Microbrewery,/brewers/abandon/18337/,https://www.facebook.com/abandonbrewingcompany
11,True,Easthampton,USA,Abandoned Building Brewery,01027,Massachusetts,142 Pleasant Street Unit 103A,(413) 282-7062,Microbrewery,/brewers/abandoned-building-brewery/19820/,https://www.facebook.com/pages/Abandoned-Building-Brewery/139189989511873
12,True,Rougemont,Canada,Abbaye Cistercienne Notre-Dame de Nazareth,JOL 1MO,Quebec,"471, rue Prinicipale",(450) 469-2880,Cidery,/brewers/abbaye-cistercienne-notre-dame-de-nazareth/4019/,http://members.tripod.com/chevaliersducidre/id25.htm
13,True,Bath,England,Abbey Ales,BA1 5LB,Somerset,"The Abbey Brewery, Camden Row",01225 444437,Microbrewery,/brewers/abbey-ales/160/,http://www.abbeyales.co.uk/
14,True,Selby,England,Abbey Bells,YO8 8QP,North Yorkshire,"5 Main Road, Hirst Courtney",07940 726658,Microbrewery,/brewers/abbey-bells/4269/,http://www.quaffale.org.uk/php/brewery/786
15,True,Santa Fe,USA,Abbey Beverage Company,87594.,New Mexico,PO Box 32124,(505) 670-6802,Client Brewer,/brewers/abbey-beverage-company/10842/,http://www.abbeybrewing.biz
16,True,Miami Beach,USA,Abbey Brewing Company,33139,Florida,1111 16th St,(305) 538-8110,Client Brewer,/brewers/abbey/11350/,https://www.facebook.com/pages/The-Abbey-Brewing-Company/46810132100
17,True,Chertsey,England,Abbey Ford,KT16 8HD,Surrey,6 Ford Road,,Microbrewery,/brewers/abbey-ford/17378/,http://www.abbeyfordbrewery.co.uk
18,True,Roswell,USA,Abbey of the Holy Goats,30076,Georgia,4000 Northfield Way,(470) 282-1444,Microbrewery,/brewers/abbey-of-the-holy-goats/26854/,https://www.facebook.com/HolyGoatBrew
19,True,Pomona,USA,Abbey Ridge Brewery,62975,Illinois,24 Brewster Valley,(618) 893-1111,Brew Pub/Brewery,/brewers/abbey-ridge-brewery/21955/,https://www.facebook.com/AbbeyRidgeBrewery
