"beer_id","date","rating","text","user_location","user_name"
1192,"2017-06-20",4.3,"Poured into snifter from can dated 5/18/17 Aroma: orange juice and jasmine and crushed pineapple. Appearance: cloudy pear-like hue. Ivory and frothy head. Webby lacing. Taste: initial wave of sweet pear juice, sweet and tart orange juice follow, with bitter herbs and funky pizza crust subdued in the background. Palate: sticky, yet smooth. Lively carbonation. This is a fantastic beer.","Iowa, USA","Sir_Vesa"
1192,"2017-06-10",4.0,"(can) cloudy orange colour with a tall white head; aroma of tropical fruit, dankness; rich, balanced flavour with a long, light bitter finish; well hidden alcohol; very nice",", Ontario, CANADA","thorongil2"
1192,"2017-06-10",4.0,"Can in Seattle. Huge thanks to Prufrockstar for sending these out to me and Andrew. Glad to try one of the original haze craze beers. Thick dark orange cream, completely hazed. Fantastic aroma, fresh cut tangerines, cut grass, hoppy wort. Pretty full, creamy body with flavors of butterscotch, very dense hop, creamy yeast and oat. Lots of pith, heavy bitterness mixed in. Nutty bread character to the malt base. Nothing from this coast compares to this in terms of the hazy, creamy style. This is much thicker. Not exactly my favorite beer to drink but this is very well executed.","Seattle, Washington, USA","luttonm"
1192,"2017-06-10",4.3,"This beer was a true citrus bomb- thanks carl! Super tropical and orange juice completing masking any semblance of boozy imperial IPA. Soft mouthfeel. So delicious.","Georgia, USA","rdixon77"
1192,"2017-05-25",4.0,"Can from PDW. Thick and juicy. Big body. Long finish. Dank and resiny on the finish. Mango, pineapple juice bomb in the aroma. Sticky and sweet malt body. All too easy to drink.","Atlanta, Georgia, USA","jrob21"
1192,"2017-05-22",4.2,"Tropical fruits, mango, passion fruit, sweet citrus fruits, orange, tangerine. Hazy gold, small, creamy, white head. Light bitter. More tropical, very fragrant fruits, mango, passion fruit, tangerine, soft carbonation, medium bodied. Beautiful DIPA, very fragrant hops throughout. Can shared at Level 42 tasting - thanks to Leighton!","London, Greater London, ENGLAND","MrTipple"
1192,"2017-05-18",4.0,"Can split at L42, big thanks to LKS 18/05/17.
Hazed pineapple jus orange with a moderate off white head.
Nose is pine, pissy trops, orange peel, grapefruit slathers, danko hops.
Taste comrpises earthy hops, danko schmacks, pineapple, grapefruit, orange pith, pine resin.
Medium bodied, fine carbonation, drying close with a boosty close.
XOLID.","Hazlemere, the lower Xhitlerns, Buckinghamshire, ENGLAND","Theydon_Bois"
1192,"2017-05-14",4.0,"Dunkel orange, super trüb, extrem fruchtig in der Nase, cremiger Körper, Angenehme Kohlensäure, sehr angenehm fruchtig, doch schon deutliche bittere im Abgang, lecker!","","alkolord"
1192,"2017-05-11",4.2,"16oz can pours a hazy pale brown color with a lot of head. Oranges and stone fruit. Medium hop bitterness.","California, USA","Bule"
1192,"2017-05-04",4.0,"Pours hazy mango into a shaker. Bright white head with good retention recedes leaving sheet lacing. Mango, pineapple and passion fruit aromas. Crisp with caramel and mango upfront turning to dark hot resin and pith in the lasting finish.","Marblehead, Massachusetts, USA","thornecb"
1192,"2017-04-30",3.7,"very tasty dipa. very well balanced. honeyish and big dipa. great dipa, of course.","Toronto, Ontario, CANADA","Sammy"
1192,"2017-04-21",4.4,"4/21/17. Giant ass can thanks to Carl! Awesome hazy ass OJ pour with a nice khaki head. Juicy AF aroma, OJ, tropical fruits, so much citrus. Delish flavor, OJ, tropical fruits, doughy. Delish AF.","Georgia, USA","drowland"
1192,"2017-04-18",4.2,"UPDATED: APR 22, 2017 Juicy and Dank. Check. Creamy mouthfeel. Check. Moderate hoppy finish. I much preferred the Alter Ego and Doppelganger to Julius, though as with all TH beers, for me would like a little more bitterness that some of the other NE IPAs have.","JAPAN","jonno"
1192,"2017-04-15",4.0,"Can
Aroma-fuits, citrus, peach
Appearance-amber, hazy, white foam, 
Taste-medium bitterness, medium sourness, light sweetness, 
Palate-full body, sticky, average carbonation, long finish, 
Overall-very good","Krakow, POLAND","msbernac"
1192,"2017-04-14",4.2,"shared can from a friend. poured a deep cloudy orange colour with a white head. nose of light malts, crisp oats, big orange notes, tropical fruits, citrus, stone fruits. taste is soft oats, orange, and light bitter peel. smooth round mouthfeel. refreshing","Alingsås, SWEDEN, SWEDEN","markextrae"
