"beer_id","tag_id"
1,1
1,2
1,3
4,5
3,3
4,8
7,2
3,11
2,11
2,13
7,13
3,17
6,18
7,3
4,20
4,22
15,24
15,27
15,28
10,2
4,30
9,38
16,39
12,44
21,48
21,49
17,15
21,51
22,58
4,61
19,61
26,63
22,10
18,68
19,70
24,71
22,72
19,72
27,3
30,3
30,77
22,78
27,78
28,78
34,3
32,82
30,81
37,84
38,86
32,3
39,3
38,62
40,89
37,89
41,52
48,97
45,10
45,103
49,104
49,3
50,109
49,111
49,2
54,115
47,114
49,118
55,49
56,120
56,110
50,123
58,112
53,130
56,132
57,133
54,134
59,136
56,136
55,137
54,136
57,141
52,141
62,112
59,148
58,148
58,110
60,112
54,150
55,149
55,152
54,153
54,130
65,130
62,154
62,131
64,154
65,158
66,161
67,161
67,124
69,162
72,164
71,164
73,166
74,170
73,171
74,175
72,158
78,177
79,178
82,179
84,160
78,181
78,131
84,182
84,148
85,130
86,161
88,50
88,185
89,158
92,160
96,160
96,162
96,193
96,124
101,196
97,202
103,203
100,205
103,205
109,206
109,195
113,158
116,89
119,195
117,212
119,214
120,214
126,195
120,216
128,218
120,218
129,220
129,222
137,195
135,214
138,225
134,227
142,228
146,229
150,215
150,218
149,215
149,214
153,234
146,235
145,236
156,130
155,172
146,211
152,246
158,250
152,252
158,253
158,54
164,253
167,249
165,261
161,261
167,267
168,269
172,131
176,275
171,276
167,276
175,279
172,283
180,287
184,293
181,293
181,294
188,295
193,297
194,299
198,286
198,303
198,6
198,89
198,170
198,261
198,63
198,196
198,172
198,294
204,130
198,309
214,309
219,311
219,39
220,242
223,183
223,312
225,305
228,313
233,179
234,39
234,314
234,315
234,311
244,316
245,97
245,148
246,317
245,183
249,319
245,320
249,321
245,322
268,323
276,323
284,324
286,54
286,97
295,316
292,312
292,330
292,130
292,259
292,170
291,230
295,335
298,331
298,329
300,158
302,161
305,161
297,341
306,130
305,155
303,342
297,259
308,161
306,345
308,155
310,130
310,180
310,306
310,158
315,326
316,130
318,264
318,326
325,161
327,336
327,305
328,305
330,161
320,337
320,158
332,316
336,358
337,359
332,352
336,161
314,325
336,208
337,362
337,365
341,360
345,365
350,39
350,305
345,360
353,362
353,365
345,322
345,161
359,316
363,362
363,365
370,312
370,362
370,365
373,50
370,360
374,352
370,370
370,54
370,372
382,366
378,54
378,367
395,375
396,378
400,50
397,172
393,270
400,270
400,329
393,384
409,337
400,384
408,264
416,242
421,172
421,316
413,391
413,393
413,259
428,306
427,172
429,394
429,395
440,172
446,352
449,242
451,397
454,130
455,161
455,242
455,193
455,162
455,130
454,401
463,242
463,404
463,130
454,155
456,183
468,242
469,409
471,161
456,411
469,161
471,412
456,389
473,172
471,294
477,242
470,208
487,242
481,417
489,242
495,396
497,237
498,352
498,242
498,396
498,63
498,161
503,360
503,370
503,54
504,423
509,399
501,426
505,427
512,378
512,39
505,429
514,399
511,76
516,261
520,161
520,148
523,436
521,440
520,142
520,329
526,444
520,130
520,131
526,445
529,49
513,447
530,378
530,158
534,329
534,230
531,370
531,54
539,296
542,158
542,170
540,161
537,456
544,131
529,155
544,142
541,172
547,148
548,130
547,131
547,142
548,160
548,158
546,158
555,161
551,322
555,461
550,259
552,54
559,259
563,148
558,466
561,158
558,467
558,163
565,316
569,259
573,322
572,416
572,472
584,259
584,322
584,473
572,368
584,54
591,447
591,196
592,184
592,389
592,264
597,389
606,402
592,148
607,230
607,242
609,161
613,294
616,481
614,259
609,130
619,482
619,183
619,63
621,278
625,441
622,396
626,172
622,63
615,485
630,278
630,441
635,261
638,396
638,261
641,441
642,482
642,294
645,487
650,325
652,242
651,441
650,261
655,161
655,155
651,487
646,172
654,294
647,242
657,161
662,130
656,322
661,342
663,161
663,130
664,130
668,349
668,161
668,461
671,130
673,161
667,155
676,161
677,161
676,485
681,130
681,161
682,161
686,158
682,496
691,342
690,325
690,299
696,161
691,349
694,273
701,208
700,183
701,54
705,50
706,301
706,161
709,500
708,301
708,158
712,505
711,506
717,301
711,508
711,326
711,510
719,228
723,158
723,331
725,337
722,337
725,301
721,515
723,264
719,54
734,301
721,517
733,301
738,6
742,329
724,63
736,301
738,311
743,380
741,230
743,525
749,301
753,301
754,325
753,305
753,329
756,322
756,54
760,532
764,533
760,395
766,39
775,322
774,537
776,368
775,537
775,538
783,452
787,322
787,370
788,530
783,158
792,539
795,540
796,170
798,322
802,539
805,39
807,270
809,461
812,545
818,541
820,39
820,541
807,259
811,541
820,148
807,541
828,541
824,550
828,325
830,541
829,551
834,541
829,148
839,541
838,554
837,180
833,556
833,1
845,541
847,496
847,541
841,541
849,97
849,329
854,148
849,560
849,517
866,561
878,74
877,562
887,312
906,375
907,329
907,331
911,313
912,326
914,305
914,286
916,311
914,183
918,566
918,559
913,567
918,305
923,326
913,568
936,329
923,572
941,559
946,259
945,573
950,461
960,84
956,460
956,84
954,84
954,329
954,331
958,582
964,188
968,305
957,259
957,322
969,84
954,346
954,270
963,50
963,158
973,84
973,158
976,589
980,84
957,360
985,592
978,183
957,367
957,372
993,97
994,337
996,595
996,84
997,596
997,452
1001,89
1005,496
1004,366
1008,155
1010,172
1007,130
1007,161
1012,452
1008,161
1009,602
1014,242
1013,322
1008,604
1009,604
1014,161
1018,130
1017,172
1013,608
1008,608
1008,601
1018,161
1018,405
1020,610
1023,610
1023,130
1014,604
1027,193
1021,291
1030,155
1024,259
1025,291
1033,617
1037,130
1037,316
1037,155
1035,161
1035,291
1042,161
1042,242
1045,161
1045,261
1045,172
1045,130
1046,158
1050,193
1046,496
1046,273
1074,312
1074,624
1074,206
1088,625
1090,626
1092,312
1092,206
1098,626
1099,206
1100,206
1105,628
1109,84
1109,629
1114,84
1114,161
1114,2
1114,631
1116,352
1116,633
1122,635
1117,378
1117,322
1129,370
1120,54
1130,362
1134,399
1130,352
1130,360
1137,640
1134,368
1137,360
1134,259
1138,270
1142,86
1134,366
1144,161
1144,84
1147,172
1143,642
1138,352
1146,352
1146,626
1138,645
1144,510
1143,89
1155,324
1157,325
1143,650
1157,651
1156,329
1164,326
1165,1
1161,305
1164,270
1164,305
1166,329
1164,337
1166,270
1172,264
1169,346
1160,336
1178,324
1164,259
1174,337
1182,326
1182,158
1189,264
1187,325
1191,264
1193,656
1193,305
1198,331
1201,1
1199,659
1200,97
1200,264
1200,656
1191,305
1205,370
1205,54
1205,372
1208,54
1206,54
1206,469
1221,161
1210,130
1227,54
1229,270
1232,54
1229,242
1237,161
1236,662
1242,660
1255,337
1258,663
1267,665
1255,97
1270,325
1270,117
1276,54
1267,671
1258,54
1273,409
1270,549
1270,663
1288,673
1270,673
1289,479
1289,673
1287,331
1287,54
1300,370
1303,495
1305,342
1307,54
1315,299
1311,161
1311,311
1324,468
1326,1
1324,485
1333,240
1329,677
1338,477
1337,305
1339,496
1326,183
1341,183
1337,291
1339,683
1353,684
1339,308
1359,148
1360,686
1359,687
1359,54
1361,54
1359,686
1371,691
1370,148
1371,39
1370,695
1382,687
1382,696
1397,313
1396,685
1398,685
1405,697
1404,303
1406,698
1405,685
1407,699
1410,701
1410,699
1413,161
1413,10
1414,314
1414,303
1415,286
1415,6
1418,158
1421,699
1421,370
1426,698
1425,50
1421,372
1429,559
1428,314
1428,372
1430,559
1430,658
1438,699
1439,321
1438,370
1438,54
1447,170
1454,700
1452,699
1460,278
1462,242
1445,495
1463,242
1468,161
1463,161
1467,130
1467,161
1467,295
1467,155
1465,130
1471,715
1471,161
1477,161
1477,130
1477,300
1488,261
1486,161
1488,718
1490,131
1487,719
1498,130
1498,399
1496,130
1492,301
1492,50
1502,316
1498,50
1499,130
1513,50
1510,52
1518,108
1511,325
1520,357
1516,326
1526,52
1529,326
1530,731
1530,270
1534,148
1534,326
1530,97
1526,736
1526,183
1526,329
1536,737
1539,357
1549,158
1551,329
1547,598
1550,50
1544,741
1550,346
1544,337
1550,337
1544,743
1582,312
1614,745
1615,312
1624,447
1633,745
1637,559
1636,326
1640,746
1641,331
1636,322
1643,748
1636,63
1646,748
1636,259
1646,749
1653,551
1659,331
1669,396
1676,242
1676,402
1678,748
1676,481
1682,242
1678,646
1685,370
1685,54
1685,369
1692,485
1695,52
1695,97
1695,337
1693,54
1705,337
1705,97
1708,550
1708,322
1698,10
1698,322
1712,372
1717,1
1715,52
1706,537
1717,52
1723,313
1717,754
1731,278
1738,370
1742,734
1741,311
1741,39
1741,148
1743,755
1748,756
1755,39
1754,758
1754,563
1757,760
1751,39
1743,54
1761,240
1761,148
1743,372
1743,319
1743,765
1771,764
1775,39
1775,697
1769,286
1775,766
1781,158
1785,130
1788,97
1788,329
1791,54
1801,316
1795,769
1804,370
1788,259
1798,184
1788,772
1811,172
1811,130
1798,6
1818,617
1823,130
1824,130
1818,773
1824,161
1828,242
1831,89
1838,321
1838,545
1842,312
1846,148
1846,303
1846,545
1848,321
1848,549
1848,6
1846,774
1852,50
1848,704
1848,315
1864,130
1863,778
1864,455
1864,187
1864,161
1869,447
1873,545
1872,196
1870,660
1869,303
1878,545
1877,370
1881,311
1881,545
1884,545
1895,329
1893,370
1900,780
1901,780
1904,183
1905,468
1905,389
1911,230
1905,329
1912,54
1907,781
1907,183
1918,331
1930,97
1927,240
1932,161
1934,679
1941,301
1941,50
1940,261
1941,286
1943,158
1953,240
1946,54
1961,789
1968,485
1969,413
1969,172
1972,172
1972,170
1975,489
1981,54
1980,130
1985,790
1982,748
1983,161
1990,193
1990,63
1990,172
1992,331
1992,264
1995,325
1995,54
2001,303
2000,794
2005,667
2001,774
2012,1
2012,270
2012,326
2024,795
2024,563
2025,172
2031,801
2034,242
2037,84
2037,362
2037,632
2037,639
2045,326
2037,803
2037,188
2052,581
2052,314
2054,805
2057,803
2054,807
2054,50
2054,809
2070,158
2071,84
2070,803
2079,808
2083,161
2083,158
2089,346
2090,1
2088,97
2088,329
2088,50
2101,559
2101,425
2098,329
2088,670
2111,325
2114,317
2116,768
2119,559
2117,815
2114,337
2120,39
2129,379
2129,270
2128,813
2128,306
2134,820
2137,823
2139,823
2139,163
2141,821
2147,80
2147,301
2136,84
2152,824
2136,632
2158,185
2154,467
2163,824
2163,486
2167,824
2171,824
2171,685
2173,185
2173,821
2168,185
2168,97
2177,828
2181,829
2182,821
2182,170
2189,754
2190,301
2190,559
2190,826
2190,228
2190,550
2209,39
2207,832
2209,314
2210,833
2194,833
2209,315
2223,756
2228,148
2230,39
2233,756
2230,10
2230,537
2239,362
2241,362
2241,259
2241,322
2248,362
2258,161
2259,259
2259,322
2252,259
2252,322
2252,360
2262,161
2258,155
2262,291
2262,460
2270,360
2269,485
2268,161
2272,208
2274,208
2271,161
2267,367
2267,259
2273,130
2277,370
2289,50
2289,767
2289,148
2293,461
2288,186
2298,399
2304,89
2301,161
2306,460
2307,460
2308,161
2305,322
2305,259
2306,259
2308,259
2311,208
2317,839
2318,416
2317,180
2317,84
2325,196
2323,543
2322,840
2332,54
2331,367
2333,89
2334,322
2337,461
2339,196
2342,447
2342,845
2343,461
2348,477
2342,842
2344,180
2350,558
2353,381
2349,386
2361,1
2360,381
2360,368
2349,322
2364,649
2368,329
2349,717
2373,847
2376,270
2377,381
2380,658
2378,270
2385,1
2390,50
2393,848
2386,331
2399,326
2402,559
2394,331
2407,229
2401,97
2414,207
2411,206
2411,195
2419,89
2422,195
2421,195
2421,213
2428,849
2432,215
2432,214
2432,211
2438,221
2438,226
2432,206
2440,214
2432,323
2440,211
2444,614
2445,161
2445,371
2444,161
2445,54
2456,322
2451,214
2451,211
2445,853
2456,537
2453,215
2453,211
2453,232
2460,858
2466,485
2466,519
2473,180
2468,574
2468,331
2475,861
2468,326
2477,319
2481,863
2468,863
2468,270
2488,690
2488,445
2485,541
2485,649
2490,864
2492,326
2494,865
2494,311
2499,54
2494,812
2508,331
2514,316
2503,50
2503,541
2517,270
2517,97
2517,305
2525,559
2529,270
2529,337
2531,870
2531,871
2526,97
2531,301
2541,270
2541,331
2551,259
2553,270
2552,370
2553,97
2561,449
2560,54
2553,329
2556,161
2565,418
2568,185
2553,264
2568,54
2570,185
2555,433
2573,824
2572,296
2577,878
2581,642
2580,86
2583,879
2582,770
2583,881
2591,650
2592,874
2594,642
2599,713
2599,367
2597,626
2603,303
2599,322
2604,368
2603,321
2614,370
2603,39
2614,183
2630,677
2614,321
2614,322
2631,259
2631,325
2641,539
2644,539
2645,660
2651,161
2652,312
2653,316
2654,130
2653,273
2657,130
2654,158
2659,352
2653,605
2657,180
2661,259
2666,352
2653,352
2668,161
2668,130
2671,130
2674,130
2670,888
2680,301
2679,291
2685,773
2683,773
2685,161
2687,528
2691,50
2689,892
2694,130
2687,161
2692,273
2692,130
2701,325
2699,496
2703,130
2699,773
2700,381
2700,305
2724,54
2726,161
2726,291
2732,894
2734,270
2739,895
2745,39
2742,325
2745,734
2742,375
2759,714
2754,899
2762,148
2759,148
2759,697
2763,461
2761,776
2771,183
2770,148
2772,696
2787,696
2786,902
2785,900
2789,697
2791,900
2789,900
2797,686
2790,904
2798,902
2808,588
