"","id","name","price","rating","review_count","city","state","zip_code","latitude","longitude"
"1","elk-creek-cafe-aleworks-millheim","Elk Creek Cafe + Aleworks","$$",4,72,"Millheim","PA","16854",40.891092,-77.476983
"2","rusty-rail-brewing-company-mifflinburg","Rusty Rail Brewing Company","$$",4,84,"Mifflinburg","PA","17844",40.91605,-77.05385
"3","drunk-monkey-brew-werks-lewistown","Drunk Monkey Brew Werks",NA,5,1,"Lewistown","PA","17044",40.59110085,-77.58468384
"4","bullfrog-brewery-williamsport","Bullfrog Brewery","$$",4,226,"Williamsport","PA","17701",41.24026,-77.0056
"5","boom-city-brewing-company-williamsport","Boom City Brewing Company","$$",3.5,11,"Williamsport","PA","17701",41.24072739,-77.00290172
"6","moon-and-raven-public-house-williamsport","Moon And Raven Public House","$$",4,77,"Williamsport","PA","17701",41.24079218,-77.00498093
"7","parish-brewing-company-broussard","Parish Brewing Company","$",4.5,13,"Broussard","LA","70518",30.15863269,-91.94835866
"8","cajun-brewing-lafayette","Cajun Brewing",NA,4.5,2,"Lafayette","LA","70506",30.21572876,-92.05027771
"9","bjs-restauarant-and-brewhouse-lafayette","BJ's Restauarant & Brewhouse","$$",3.5,29,"Lafayette","LA","70508",30.15538924,-92.04657231
"10","the-growler-oxford","The Growler","$",4.5,9,"Oxford","MS","38655",34.3677884,-89.5186213
"11","snack-bar-oxford","Snack Bar","$$$",4,50,"Oxford","MS","38655",34.37519075,-89.51593154
"12","roosters-blues-house-oxford","Rooster's Blues House","$$",2.5,19,"Oxford","MS","38655",34.36681368,-89.51933463
"13","the-mill-house-greenwood-3","The Mill House","$$",4,66,"Greenwood","SC","29646",34.189648,-82.163725
"14","carolina-bauernhaus-ales-anderson","Carolina Bauernhaus Ales","$$",4.5,9,"Anderson","SC","29625",34.505619,-82.651962
"15","growler-haus-anderson","Growler Haus","$$",4.5,7,"Anderson","SC","29621",34.5055784,-82.6510546
"16","stressfree-moose-greenville","StressFree Moose","$$",3.5,44,"Greenville","ME","04441",45.45897926,-69.59460139
"17","blue-heron-brew-pub-marshfield","Blue Heron Brew Pub","$$",4,75,"Marshfield","WI","54449",44.65962499,-90.17913267
"18","bare-arms-brewing-waco","Bare Arms Brewing","$",4.5,13,"Waco","TX","76706",31.5250927,-97.13116493
"19","barnetts-pub-waco","Barnett's Pub","$$",3.5,34,"Waco","TX","76701",31.55593,-97.13036
"20","center-square-brewing-abbottstown","Center Square Brewing",NA,5,1,"Abbottstown","PA","17301",39.8870163,-76.984581
"21","something-wicked-brewing-co-hanover","Something Wicked Brewing Co","$$",4.5,11,"Hanover","PA","17331",39.80146012,-76.98323462
"22","miscreation-brewing-company-hanover","Miscreation Brewing Company","$$",4,29,"Hanover","PA","17331",39.80067511,-76.98325148
"23","warehouse-gourmet-bistro-and-brewpub-hanover","Warehouse Gourmet Bistro & Brewpub","$$",4,60,"Hanover","PA","17331",39.80258179,-76.98925781
"24","aldus-brewing-hanover","Aldus Brewing","$",4.5,13,"Hanover","PA","17331",39.79052353,-76.97698212
"25","center-square-brewing-abbottstown-2","Center Square Brewing",NA,4.5,2,"Abbottstown","PA","17301",39.8861599,-76.98517
"26","buon-appetito-ristorante-spring-grove-3","Buon Appetito Ristorante","$$",4.5,13,"Spring Grove","PA","17362",39.8464699,-76.8999
"27","battlefield-brew-works-gettysburg","Battlefield Brew Works","$$",3.5,51,"Gettysburg","PA","17325",39.846231,-77.210761
"28","liquid-hero-brewing-company-york","Liquid Hero Brewing Company","$$",4.5,34,"York","PA","17401",39.9667352,-76.72858375
"29","appalachian-brewing-company-gettysburg-3","Appalachian Brewing Company","$$",3.5,77,"Gettysburg","PA","17325",39.8201,-77.23478
"30","collusion-tap-works-york","Collusion Tap Works","$$",4,14,"York","PA","17401",39.9618567,-76.7240154
"31","altland-house-grill-and-pub-abbottstown","Altland House Grill & Pub","$$",3.5,22,"Abbottstown","PA","17301",39.8868632,-76.984608
"32","appalachian-brewing-company-gettysburg-2","Appalachian Brewing Company","$$",3,106,"Gettysburg","PA","17325",39.84261703,-77.19194794
"33","gunpowder-falls-brewing-shrewsbury-township","Gunpowder Falls Brewing","$",4.5,10,"Shrewsbury Township","PA","17349",39.75555,-76.66206
"34","tattered-flag-brewery-and-still-works-middletown","Tattered Flag Brewery & Still Works","$$",4.5,41,"Middletown","PA","17057",40.19499,-76.73165
"35","molly-pitcher-brewing-company-carlisle","Molly Pitcher Brewing Company","$",4.5,32,"Carlisle","PA","17013",40.1981544,-77.1888809
"36","ever-grain-brewing-camp-hill-3","Ever Grain Brewing","$$",4,43,"Camp Hill","PA","17011",40.23855464,-76.96080884
"37","holy-hound-taproom-york","Holy Hound Taproom","$$",4.5,74,"York","PA","17401",39.96067156,-76.72884008
